Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,2,5,0.05405405405405406
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,2,5,0.05405405405405406
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,14,1,0.3783783783783784
mixin,0,12,0.0
mode,1,7,0.02702702702702703
phase,1,7,0.02702702702702703
phaseMixin,0,12,0.0
quality,1,7,0.02702702702702703
quantity,0,12,0.0
relator,3,4,0.08108108108108109
role,5,3,0.13513513513513514
roleMixin,1,7,0.02702702702702703
situation,0,12,0.0
subkind,6,2,0.16216216216216217
type,0,12,0.0
none,1,7,0.02702702702702703
other,0,12,0.0
