stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,2.260549598750799,7
collective,2.0491090220715713,9
datatype,1.3220127617590758,17
event,3.274816667826414,1
kind,2.8481737462362555,3
mixin,1.4560807536730715,16
mode,1.707705555694568,15
phase,1.9088126641103695,11
quality,2.476509462214463,4
relator,2.1493934333580875,8
role,2.2931684184214194,6
roleMixin,2.029773837425422,10
situation,2.905870668231535,2
subkind,1.8446309352675856,12
type,2.3736396440534255,5
none,1.792407495697248,13
other,1.7331494418627456,14
