year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
2007,0,3,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,4
2011,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
2012,0,11,0,0,0,0,0,0,38,0,0,0,0,0,0,16,9,0,0,42,0,0,0
2013,0,28,71,16,0,0,0,0,273,3,21,69,0,2,0,199,310,24,0,218,6,0,0
2014,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,7,6
2015,0,4,0,1,8,3,0,0,17,1,22,8,0,2,6,6,13,4,4,5,0,0,0
2016,0,6,1,0,0,7,0,0,0,1,6,0,0,7,0,9,2,9,1,0,0,0,8
2017,0,10,0,0,0,83,0,0,32,1,4,7,0,0,3,14,47,9,4,21,2,29,25
2018,0,27,5,0,2,26,0,0,34,1,18,2,0,4,0,30,9,31,6,43,3,17,12
2019,0,22,9,6,0,15,17,0,46,1,13,13,0,14,1,35,31,4,8,62,6,0,11
2020,0,25,3,8,0,14,2,0,99,3,17,23,3,20,3,33,59,60,16,41,4,87,9
2021,1,64,6,22,2,64,0,4,152,1,58,36,7,31,1,48,80,16,13,210,12,10,11
2022,0,77,8,35,20,43,3,5,84,2,11,48,7,14,1,61,72,50,8,95,32,6,2
2023,1,27,9,13,20,24,0,0,131,5,16,29,3,40,1,39,88,17,7,117,8,21,7
2024,0,8,2,4,0,27,1,0,38,3,9,23,0,28,0,33,15,36,4,54,4,0,0
