Group,DistanceFromOrigin,Rank
sortal,4687.083634841606,1
rigid,3265.1200590483654,2
rigid_sortal,2980.1315407209795,3
non_rigid,1949.1734145529483,4
non_rigid_sortal,1571.1683550784746,5
non_sortal,663.3324958118666,6
non_rigid_non_sortal,378.38208202820596,7
undef,286.2114602876691,8
rigid_non_sortal,285.70089254323307,9
none,228.1074308302998,10
temporal,139.51702405083043,11
other,58.42088667591412,12
abstracts,33.95585369269929,13
