stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.21775044923364473
characterization,creation,0.1900056236731024
characterization,derivation,0.01599216815865164
characterization,externalDependence,0.3604234730174974
characterization,instantiation,0.29627861877240685
characterization,material,0.00477684156952244
characterization,mediation,0.21069014331353256
characterization,memberOf,0.1559747884695393
characterization,participation,0.34507453852732933
componentOf,creation,0.0346338067525875
componentOf,derivation,0.020249163713161225
componentOf,externalDependence,0.031162463079782148
componentOf,instantiation,0.10596345004288578
componentOf,material,0.2105957680947077
componentOf,mediation,0.19566851294761656
componentOf,memberOf,0.3433826956646224
componentOf,participation,0.016297204920874123
creation,derivation,0.01326467185594629
creation,externalDependence,0.25935491345972833
creation,instantiation,0.3892401751551766
creation,material,0.0273274444137586
creation,mediation,0.07971160003510787
creation,memberOf,0.11464960579335108
creation,participation,0.70633539801013
derivation,externalDependence,0.12595666430775604
derivation,instantiation,0.14839584060802014
derivation,material,0.5868892268068321
derivation,mediation,0.441021939724318
derivation,memberOf,0.19267407870586503
derivation,participation,0.06765576283978182
externalDependence,instantiation,0.5624295987088067
externalDependence,material,0.23249073079653812
externalDependence,mediation,0.01154183379692549
externalDependence,memberOf,0.055266926344375154
externalDependence,participation,0.38286204010525726
instantiation,material,0.13406086618572746
instantiation,mediation,0.03967829055094326
instantiation,memberOf,0.007436291576022281
instantiation,participation,0.48396449888993615
material,mediation,0.4224890336807351
material,memberOf,0.23256038864980227
material,participation,0.07226079957601149
mediation,memberOf,0.3128084708005224
mediation,participation,0.015357239804567782
memberOf,participation,0.08304265646359577
