Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.19163500934365335,0.25678580127231754,0.03594360460611303,0.4008643045163517,0.3270396292224618,0.3471066645322349,0.018528441014764887,0.2071625271723672,0.12948609818492438,0.3967477511558486
componentOf,0.19163500934365335,1.0,0.004859632646272645,0.06650475394534767,0.08696404377084609,0.07089849197547134,0.023989899930053665,0.23581495347364353,0.1923033911644395,0.3418817558418225,0.033633442320582664
creation,0.25678580127231754,0.004859632646272645,1.0,0.029114651780672737,0.32338462450941097,0.4324397209595094,0.5237848092150884,0.038394795424627905,0.06906520911365525,0.07116627956998715,0.7454942546064252
derivation,0.03594360460611303,0.06650475394534767,0.029114651780672737,1.0,0.1634605281228856,0.14404091184678539,0.19351672094211272,0.5820819561937074,0.4343294959776462,0.20424137338892304,0.09490952012201102
externalDependence,0.4008643045163517,0.08696404377084609,0.32338462450941097,0.1634605281228856,1.0,0.5294965462074679,0.49434486940694283,0.2122537529486384,0.01568098267207789,0.03398606625237519,0.4285905037026385
instantiation,0.3270396292224618,0.07089849197547134,0.4324397209595094,0.14404091184678539,0.5294965462074679,1.0,0.7317918983940768,0.15472442084934857,0.022825667037669084,0.0024274547589176187,0.5358882328867927
manifestation,0.3471066645322349,0.023989899930053665,0.5237848092150884,0.19351672094211272,0.49434486940694283,0.7317918983940768,1.0,0.13950610843491482,0.0736655765390072,0.07186686257703798,0.621736852388614
material,0.018528441014764887,0.23581495347364353,0.038394795424627905,0.5820819561937074,0.2122537529486384,0.15472442084934857,0.13950610843491482,1.0,0.42109976328193516,0.22524657083348612,0.08106987213220863
mediation,0.2071625271723672,0.1923033911644395,0.06906520911365525,0.4343294959776462,0.01568098267207789,0.022825667037669084,0.0736655765390072,0.42109976328193516,1.0,0.3156846166949427,0.012792268638776255
memberOf,0.12948609818492438,0.3418817558418225,0.07116627956998715,0.20424137338892304,0.03398606625237519,0.0024274547589176187,0.07186686257703798,0.22524657083348612,0.3156846166949427,1.0,0.0467649105363244
participation,0.3967477511558486,0.033633442320582664,0.7454942546064252,0.09490952012201102,0.4285905037026385,0.5358882328867927,0.621736852388614,0.08106987213220863,0.012792268638776255,0.0467649105363244,1.0
