Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
characterization,1.0,0.218726064628797,0.21360442758541032,-0.026368212163362867,0.38585157893786104,0.3219241710938783,0.05110518732392218,0.20377778348795345,0.14266035195912924,0.37114944985998094
componentOf,0.218726064628797,1.0,0.03473754084400668,0.08990296000073812,-0.03689872288247213,0.0841619523692653,0.25039703703522953,0.2781240635928929,0.37389794859493686,-0.01645816426997954
creation,0.21360442758541032,0.03473754084400668,1.0,0.014299446511004102,0.2562945154402438,0.3859518672595282,-0.01724729085382501,0.11685357730372127,0.11763493495211919,0.7062209570252487
derivation,-0.026368212163362867,0.08990296000073812,0.014299446511004102,1.0,-0.13465139000090273,-0.16010821368589198,0.5901936299197811,0.44246628635585505,0.19882134763527493,-0.07748031596847846
externalDependence,0.38585157893786104,-0.03689872288247213,0.2562945154402438,-0.13465139000090273,1.0,0.5544809879426107,-0.24623533388577606,0.0077165337813611574,0.05476678404868985,0.3854378615858555
instantiation,0.3219241710938783,0.0841619523692653,0.3859518672595282,-0.16010821368589198,0.5544809879426107,1.0,-0.12464683199458407,0.03495661458447143,0.01596245022655935,0.4966883818319001
material,0.05110518732392218,0.25039703703522953,-0.01724729085382501,0.5901936299197811,-0.24623533388577606,-0.12464683199458407,1.0,0.4354462132205587,0.24750143458955703,-0.061022281943332146
mediation,0.20377778348795345,0.2781240635928929,0.11685357730372127,0.44246628635585505,0.0077165337813611574,0.03495661458447143,0.4354462132205587,1.0,0.3577625015283222,0.013764227470209158
memberOf,0.14266035195912924,0.37389794859493686,0.11763493495211919,0.19882134763527493,0.05476678404868985,0.01596245022655935,0.24750143458955703,0.3577625015283222,1.0,0.08457004005586005
participation,0.37114944985998094,-0.01645816426997954,0.7062209570252487,-0.07748031596847846,0.3854378615858555,0.4966883818319001,-0.061022281943332146,0.013764227470209158,0.08457004005586005,1.0
