Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.2607192254495159,1,0.16279069767441862
20.0,3,0.5961272475795297,3,0.40863787375415284
30.0,5,0.7468879668049793,5,0.5614617940199336
40.0,7,0.8326417704011065,7,0.6943521594684385
50.0,9,0.896957123098202,9,0.7873754152823921
60.0,11,0.941908713692946,11,0.8770764119601329
70.0,13,0.9785615491009682,13,0.946843853820598
80.0,15,0.9965421853388658,15,0.9867109634551495
90.0,17,1.0,17,1.0
100.0,19,1.0,19,1.0
