model_id,count
abel2015petroleum-system,29
albuquerque2011ontobio,147
barcelos2013normative-acts,45
barcelos2015transport-networks,487
brazilian-governmental-organizational-structures,15
carolla2014campus-management,17
castro2012cloudvulnerability,32
cmpo2017,55
dpo2017,40
ferreira2015ontoemergeplan,147
gailly2016value,12
grueau2013towards,13
guarino2016value,18
guizzardi2005ontological,43
kostov2017towards,58
martinez2013human-genome,10
mgic-antt2011,5231
nardi2015ufo-s,27
o3ontology2015,303
oliveira2007collaboration,20
pereira2015doacao-orgaos,25
quality-assurance-process-ontology2017,37
ramirez2015userfeedback,50
rodrigues2017urinary-profiles,63
services2015,124
silva2012itarchitecture,84
spo2017,109
zhou2017hazard-ontology-robotic-strolling,13
zhou2017hazard-ontology-train-control,25
