Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,other_c,characterization,componentOf,material,mediation,participation,none_r,other_r
category,1.0,0.10920459101666909,0.0495716914655427,0.2889729510652341,0.07066313135278894,0.2199220499979292,0.05688950606752826,0.03604691509565003,0.24980917387597845,0.23697327543595967,0.28257953176396605,0.042975913517677454,0.07859212040112887,0.34514981058122157,0.1997988832704656,0.09010272973334214,0.017346730289655075,0.13816311470123732,0.14272576701497208,0.07158465456454148
event,0.10920459101666909,1.0,0.24299213335382863,0.17086958098883506,0.01949965333004103,0.12298059132637518,0.12405443982868267,0.12474961233240904,0.2728852486185675,0.00253059796582824,0.32532062470185,0.11367274358070252,0.0991586064737477,0.18007187651161616,0.1220651371919444,0.0012008802617211928,0.0878383282451053,0.5927419070721444,0.22541621509225387,0.1227863912619953
kind,0.0495716914655427,0.24299213335382863,1.0,0.023446115479553418,0.25177932727228236,0.07551425256952647,0.22352666511736233,0.40592671439545003,0.23081263608449387,0.4521167541796545,0.22237296722124558,0.06974452322496234,0.022899439018923887,0.027400431959276696,0.24083669363509388,0.32659134339410356,0.2119477905175758,0.22262155346636261,0.06948363002595737,0.0885378202682844
mode,0.2889729510652341,0.17086958098883506,0.023446115479553418,1.0,0.049740379639346875,0.17520069089673804,0.05953911898149345,0.08566555454910736,0.2351090797021693,0.1435038553488453,0.2201971408036418,0.08920959704653054,0.12458439257700668,0.4922434511923206,0.14419021123769452,0.09947214788849928,0.19030853819702803,0.05265708697878344,0.03216152896279943,0.04765188300733066
phase,0.07066313135278894,0.01949965333004103,0.25177932727228236,0.049740379639346875,1.0,0.11225464213428787,0.1103505821107691,0.2676197529386422,0.0025036474353233485,0.3122990109251251,0.06682521228873012,0.07400334249785812,0.024440275487269673,0.01757132981275515,0.11632920466050851,0.09259652015610483,0.21807731088158572,0.045711605308203826,0.05030101809455586,0.014351087922288338
quality,0.2199220499979292,0.12298059132637518,0.07551425256952647,0.17520069089673804,0.11225464213428787,1.0,0.1839891462541398,0.07015070306895352,0.06540705851600125,0.19370892536670972,0.223888018688092,0.0956783387720691,0.16991139541218284,0.5808940852791245,0.016635669087389834,0.018449183264996418,0.16007494843053238,0.2708268744477495,0.062179877281853015,0.07549787217203652
relator,0.05688950606752826,0.12405443982868267,0.22352666511736233,0.05953911898149345,0.1103505821107691,0.1839891462541398,1.0,0.22339926408812805,0.12720324743236874,0.178747883171666,0.049627001158384206,0.23703757537374776,0.13556485423079478,0.22193746425713176,0.11127307407011436,0.19760610852840632,0.6917390637180589,0.00439286697378465,0.07361478542172609,0.08699209008579938
role,0.03604691509565003,0.12474961233240904,0.40592671439545003,0.08566555454910736,0.2676197529386422,0.07015070306895352,0.22339926408812805,1.0,0.004527940939456862,0.05099098802104717,0.13224499056530178,0.026203807465609193,0.05857288703549955,0.018329397334353615,0.024768836246569156,0.10918206852932395,0.19064694866482362,0.2772555426557279,0.012563592821796293,0.02342092802055576
roleMixin,0.24980917387597845,0.2728852486185675,0.23081263608449387,0.2351090797021693,0.0025036474353233485,0.06540705851600125,0.12720324743236874,0.004527940939456862,1.0,0.024301618322285872,0.3254623817198614,0.08786676644834668,0.14958003270059947,0.1750401711712713,0.024476517948914988,0.06324753224215766,0.1601644411849052,0.19283068147038135,0.10296296962048708,0.03677573457219308
subkind,0.23697327543595967,0.00253059796582824,0.4521167541796545,0.1435038553488453,0.3122990109251251,0.19370892536670972,0.178747883171666,0.05099098802104717,0.024301618322285872,1.0,0.013935526446321702,0.1277262948641584,0.070644978076619,0.09132157976053598,0.25746783873213974,0.17315945874610078,0.20776954632210973,0.04479045868963642,0.04768841863258836,0.07166141693000522
type,0.28257953176396605,0.32532062470185,0.22237296722124558,0.2201971408036418,0.06682521228873012,0.223888018688092,0.049627001158384206,0.13224499056530178,0.3254623817198614,0.013935526446321702,1.0,0.12319012702871017,0.1421923907022346,0.22692391065007575,0.10008417649957746,0.13902997682831245,0.04070281253675046,0.3779041184748187,0.08460658889257795,0.07991825006194998
none_c,0.042975913517677454,0.11367274358070252,0.06974452322496234,0.08920959704653054,0.07400334249785812,0.0956783387720691,0.23703757537374776,0.026203807465609193,0.08786676644834668,0.1277262948641584,0.12319012702871017,1.0,0.08717312028560377,0.006638847085695308,0.07680207489969408,0.06980045181000867,0.09133090563307815,0.0014620790956363966,0.1528526567711088,0.09572975127719142
other_c,0.07859212040112887,0.0991586064737477,0.022899439018923887,0.12458439257700668,0.024440275487269673,0.16991139541218284,0.13556485423079478,0.05857288703549955,0.14958003270059947,0.070644978076619,0.1421923907022346,0.08717312028560377,1.0,0.1297680025229181,0.07743384300082594,0.08820799280798004,0.23607553223227343,0.17936739416797698,0.21781696535923384,0.09128835331510544
characterization,0.34514981058122157,0.18007187651161616,0.027400431959276696,0.4922434511923206,0.01757132981275515,0.5808940852791245,0.22193746425713176,0.018329397334353615,0.1750401711712713,0.09132157976053598,0.22692391065007575,0.006638847085695308,0.1297680025229181,1.0,0.21841472820194902,0.0891239240514109,0.33989708004102265,0.3255167181075425,0.01916379048199838,0.07451172858437416
componentOf,0.1997988832704656,0.1220651371919444,0.24083669363509388,0.14419021123769452,0.11632920466050851,0.016635669087389834,0.11127307407011436,0.024768836246569156,0.024476517948914988,0.25746783873213974,0.10008417649957746,0.07680207489969408,0.07743384300082594,0.21841472820194902,1.0,0.2029087008844276,0.13321262599933154,0.031746528333004835,0.12262833148437145,0.029431427812125432
material,0.09010272973334214,0.0012008802617211928,0.32659134339410356,0.09947214788849928,0.09259652015610483,0.018449183264996418,0.19760610852840632,0.10918206852932395,0.06324753224215766,0.17315945874610078,0.13902997682831245,0.06980045181000867,0.08820799280798004,0.0891239240514109,0.2029087008844276,1.0,0.2657570973543238,0.0840716778722815,0.1443932587138663,0.14106982748484012
mediation,0.017346730289655075,0.0878383282451053,0.2119477905175758,0.19030853819702803,0.21807731088158572,0.16007494843053238,0.6917390637180589,0.19064694866482362,0.1601644411849052,0.20776954632210973,0.04070281253675046,0.09133090563307815,0.23607553223227343,0.33989708004102265,0.13321262599933154,0.2657570973543238,1.0,0.06847945531568723,0.1755836121699738,0.15784229535338956
participation,0.13816311470123732,0.5927419070721444,0.22262155346636261,0.05265708697878344,0.045711605308203826,0.2708268744477495,0.00439286697378465,0.2772555426557279,0.19283068147038135,0.04479045868963642,0.3779041184748187,0.0014620790956363966,0.17936739416797698,0.3255167181075425,0.031746528333004835,0.0840716778722815,0.06847945531568723,1.0,0.09125928696994934,0.07564797775374492
none_r,0.14272576701497208,0.22541621509225387,0.06948363002595737,0.03216152896279943,0.05030101809455586,0.062179877281853015,0.07361478542172609,0.012563592821796293,0.10296296962048708,0.04768841863258836,0.08460658889257795,0.1528526567711088,0.21781696535923384,0.01916379048199838,0.12262833148437145,0.1443932587138663,0.1755836121699738,0.09125928696994934,1.0,0.01685775870589345
other_r,0.07158465456454148,0.1227863912619953,0.0885378202682844,0.04765188300733066,0.014351087922288338,0.07549787217203652,0.08699209008579938,0.02342092802055576,0.03677573457219308,0.07166141693000522,0.07991825006194998,0.09572975127719142,0.09128835331510544,0.07451172858437416,0.029431427812125432,0.14106982748484012,0.15784229535338956,0.07564797775374492,0.01685775870589345,1.0
