Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,91,1,91,7.268370607028754
kind,86,2,177,14.13738019169329
relator,79,3,256,20.447284345047922
subkind,75,4,331,26.437699680511184
category,72,5,403,32.18849840255591
role,71,6,474,37.85942492012779
mediation,65,7,539,43.05111821086262
characterization,56,8,595,47.52396166134185
event,47,9,642,51.2779552715655
mode,46,10,688,54.9520766773163
roleMixin,44,11,732,58.46645367412141
material,42,12,774,61.82108626198083
quality,37,13,811,64.77635782747603
phase,33,14,844,67.41214057507987
componentOf,32,15,876,69.96805111821087
derivation,30,16,906,72.36421725239617
other_r,28,17,934,74.60063897763578
participation,25,18,959,76.59744408945687
collective,25,19,984,78.59424920127796
datatype,21,20,1005,80.27156549520767
externalDependence,20,21,1025,81.86900958466452
memberOf,20,22,1045,83.46645367412141
type,20,23,1065,85.06389776357828
situation,19,24,1084,86.5814696485623
other_c,17,25,1101,87.93929712460063
none_c,17,26,1118,89.29712460063898
mixin,16,27,1134,90.57507987220448
instantiation,15,28,1149,91.77316293929712
creation,15,29,1164,92.97124600638978
historicalDependence,14,30,1178,94.08945686900958
manifestation,12,31,1190,95.0479233226837
bringsAbout,11,32,1201,95.92651757188499
triggers,9,33,1210,96.64536741214057
quantity,8,34,1218,97.28434504792332
phaseMixin,8,35,1226,97.92332268370608
enumeration,7,36,1233,98.48242811501598
historicalRole,4,37,1237,98.80191693290735
comparative,4,38,1241,99.12140575079871
participational,3,39,1244,99.36102236421725
historicalRoleMixin,3,40,1247,99.60063897763578
termination,2,41,1249,99.76038338658148
subCollectionOf,2,42,1251,99.92012779552716
abstract,1,43,1252,100.0
subQuantityOf,0,44,1252,100.0
