Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,other_c,characterization,componentOf,material,mediation,participation,none_r,other_r
category,1.0,0.14123416092546398,0.11460002956368016,0.2640601200645892,-0.07217729178324363,0.23432518185778609,-0.10564949382505191,-0.13353461812435893,0.24886833954230372,0.2086800346006988,0.3501107771279238,0.06128404337228863,-0.07719025260264005,0.3695366815784654,0.17224573212586164,0.13349704037669333,0.008539787343099172,0.19860431392906838,0.16050509342481847,-0.055367908379835046
event,0.14123416092546398,1.0,-0.2370416635957669,0.16551568765790894,0.025198953703011815,0.146332503336983,-0.11659769207582679,-0.11071084730242513,0.29769312068809095,0.0006022391139508847,0.3555895559435339,0.17075576886845936,0.07716399798504862,0.20442003663346545,-0.11296199940122874,5.965475200854081e-05,-0.07014883718294733,0.6081563792651734,0.20052320987029326,0.1354101315285714
kind,0.11460002956368016,-0.2370416635957669,1.0,0.016635201563331436,0.2329233332040491,0.11489844414217275,0.3107188581000649,0.3420293292371845,-0.2943875922321251,0.5392717852714264,-0.18985166711460627,-0.09341672138839986,-0.038451270410742366,-0.03581790879256445,0.3635335633110395,0.31245834929963195,0.21278067508790083,-0.2037301487543038,0.08406454667115965,-0.06278166454372305
mode,0.2640601200645892,0.16551568765790894,0.016635201563331436,1.0,0.0224632604370947,0.15549638264432633,0.0218302422386692,0.08284040508003726,0.20720701100027414,0.11052261675841239,0.2306623102301371,0.09455156324232893,-0.1258637718591313,0.5004358233519106,0.16106567845938063,0.09166949402005628,0.15997470695243154,0.05373050026530948,0.03717923768537817,-0.024451535936227578
phase,-0.07217729178324363,0.025198953703011815,0.2329233332040491,0.0224632604370947,1.0,0.11882195080377034,0.1852579338864852,0.3376374173011174,0.0005021540240552261,0.28461005680324064,-0.06992298586018515,-0.07631676779429043,0.015205082973911281,0.013364583424413606,0.10037623344332329,0.10695280929797553,0.3020056566168565,-0.05560396582895835,-0.13109020176526634,0.01574682904552654
quality,0.23432518185778609,0.146332503336983,0.11489844414217275,0.15549638264432633,0.11882195080377034,1.0,0.1684350232398525,0.03634948657328214,0.06488548856990274,0.30574894088203597,0.1974420741283277,0.0821538667002595,-0.18244396226538692,0.6326722798036256,0.03780282859557474,0.012737854666812456,0.19042047264368184,0.29833872449331933,-0.08910589472718952,-0.0715918027480232
relator,-0.10564949382505191,-0.11659769207582679,0.3107188581000649,0.0218302422386692,0.1852579338864852,0.1684350232398525,1.0,0.35137782308647847,0.11479820335470321,0.21626827841757615,-0.02335308967206558,-0.2594774867102009,-0.11666018990221351,0.1812873929099645,0.22809019602935066,0.18775064967031901,0.6918436867510601,-0.0010283464153218419,-0.1062851529406553,0.1361131326749832
role,-0.13353461812435893,-0.11071084730242513,0.3420293292371845,0.08284040508003726,0.3376374173011174,0.03634948657328214,0.35137782308647847,1.0,0.0009532325405220322,0.07715720916284166,-0.142348260129205,0.02048321405072769,-0.04525416826589712,0.016411369504819022,0.03235246810457072,0.10134606275477352,0.35836947733957825,-0.2831515162536905,0.058141632720816024,-0.049150095308378786
roleMixin,0.24886833954230372,0.29769312068809095,-0.2943875922321251,0.20720701100027414,0.0005021540240552261,0.06488548856990274,0.11479820335470321,0.0009532325405220322,1.0,-0.10623705354614035,0.3798840543012348,0.07614190099402929,-0.14029554628257665,0.21276176542277875,-0.05075642752267442,-0.07126567409826963,0.16236536613153688,0.22759134612415133,0.15736468474809143,0.08252988143178074
subkind,0.2086800346006988,0.0006022391139508847,0.5392717852714264,0.11052261675841239,0.28461005680324064,0.30574894088203597,0.21626827841757615,0.07715720916284166,-0.10623705354614035,1.0,-0.0242718276195745,-0.14231579757763402,-0.09087748661134465,0.1457419143848553,0.27384194247421784,0.21539682933584248,0.25283368716772797,-0.015273907366301936,-0.09881429811416902,-0.1345581868507827
