model_id,count
abel2015petroleum-system,21
albuquerque2011ontobio,43
barcelos2013normative-acts,18
barcelos2015transport-networks,348
brazilian-governmental-organizational-structures,7
carolla2014campus-management,23
castro2012cloudvulnerability,27
cmpo2017,66
dpo2017,51
ferreira2015ontoemergeplan,121
gailly2016value,15
grueau2013towards,3
guarino2016value,37
guizzardi2005ontological,25
kostov2017towards,35
martinez2013human-genome,15
mgic-antt2011,1782
nardi2015ufo-s,48
o3ontology2015,220
oliveira2007collaboration,20
pereira2015doacao-orgaos,9
quality-assurance-process-ontology2017,28
ramirez2015userfeedback,36
rodrigues2017urinary-profiles,62
services2015,91
silva2012itarchitecture,33
spo2017,89
zhou2017hazard-ontology-robotic-strolling,14
zhou2017hazard-ontology-train-control,30
