model_id,stereotype,count
abel2015petroleum-system,characterization,3
abel2015petroleum-system,constitute,3
abel2015petroleum-system,pre-state,3
abel2015petroleum-system,pos-state,3
albuquerque2011ontobio,comparative,15
albuquerque2011ontobio,mediation,11
albuquerque2011ontobio,componentOf,5
albuquerque2011ontobio,characterization,3
albuquerque2011ontobio,memberOf,3
albuquerque2011ontobio,material,1
barcelos2013normative-acts,componentOf,11
barcelos2013normative-acts,subCollectionOf,5
barcelos2013normative-acts,memberOf,2
barcelos2015transport-networks,mediation,129
barcelos2015transport-networks,material,92
barcelos2015transport-networks,componentOf,83
barcelos2015transport-networks,derivation,31
barcelos2015transport-networks,formal,12
barcelos2015transport-networks,memberOf,1
brazilian-governmental-organizational-structures,Formal,5
brazilian-governmental-organizational-structures,componentOf,2
carolla2014campus-management,material,5
carolla2014campus-management,derivation,5
carolla2014campus-management,componentOf,3
castro2012cloudvulnerability,mediation,13
castro2012cloudvulnerability,material,6
castro2012cloudvulnerability,formal,5
castro2012cloudvulnerability,derivation,2
cmpo2017,material,6
dpo2017,material,6
dpo2017,componentOf,1
ferreira2015ontoemergeplan,formal,69
ferreira2015ontoemergeplan,mediation,16
ferreira2015ontoemergeplan,characterization,7
ferreira2015ontoemergeplan,material,6
ferreira2015ontoemergeplan,componentOf,5
ferreira2015ontoemergeplan,sum,2
ferreira2015ontoemergeplan,memberOf,2
guarino2016value,formal,9
guarino2016value,characterization,8
guarino2016value,mediation,8
guizzardi2005ontological,mediation,6
guizzardi2005ontological,formal,5
guizzardi2005ontological,componentOf,4
guizzardi2005ontological,derivation,2
guizzardi2005ontological,material,2
guizzardi2005ontological,characterization,1
guizzardi2005ontological,memberOf,1
kostov2017towards,material,2
kostov2017towards,haspart,1
martinez2013human-genome,mediation,4
martinez2013human-genome,derivation,2
martinez2013human-genome,subCollectionOf,2
martinez2013human-genome,memberOf,2
martinez2013human-genome,material,2
martinez2013human-genome,formal,2
martinez2013human-genome,Formal,1
mgic-antt2011,mediation,1047
mgic-antt2011,componentOf,176
mgic-antt2011,material,154
mgic-antt2011,memberOf,115
mgic-antt2011,Formal,107
mgic-antt2011,characterization,101
mgic-antt2011,derivation,64
mgic-antt2011,subCollectionOf,11
mgic-antt2011,subQuantityOf,2
mgic-antt2011,sum,1
nardi2015ufo-s,formal,16
nardi2015ufo-s,sum,9
nardi2015ufo-s,characterization,6
nardi2015ufo-s,externalDependence,6
nardi2015ufo-s,mediation,6
nardi2015ufo-s,participation,4
nardi2015ufo-s,memberOf,1
o3ontology2015,Formal,68
o3ontology2015,mediation,43
o3ontology2015,componentOf,9
o3ontology2015,material,7
o3ontology2015,characterization,5
o3ontology2015,sum,5
o3ontology2015,derivation,2
o3ontology2015,PartOf,2
o3ontology2015,memberOf,2
o3ontology2015,subQuantityOf,1
o3ontology2015,subCollectionOf,1
pereira2015doacao-orgaos,mediation,6
quality-assurance-process-ontology2017,componentOf,1
ramirez2015userfeedback,mediation,12
ramirez2015userfeedback,componentOf,9
ramirez2015userfeedback,characterization,7
rodrigues2017urinary-profiles,mediation,11
rodrigues2017urinary-profiles,presentAt,8
rodrigues2017urinary-profiles,induces,7
rodrigues2017urinary-profiles,derivation,4
rodrigues2017urinary-profiles,material,4
rodrigues2017urinary-profiles,characterization,3
rodrigues2017urinary-profiles,pos-state,2
rodrigues2017urinary-profiles,pre-state,2
services2015,Formal,19
services2015,characterization,14
services2015,mediation,10
services2015,componentOf,9
services2015,sum,2
services2015,externalDependence,2
services2015,derivation,1
services2015,material,1
services2015,memberOf,1
silva2012itarchitecture,mediation,4
silva2012itarchitecture,material,2
spo2017,material,2
