Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,4,5,0.05128205128205128
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,3,7,0.038461538461538464
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,10,3,0.1282051282051282
mixin,0,12,0.0
mode,3,7,0.038461538461538464
phase,2,9,0.02564102564102564
phaseMixin,0,12,0.0
quality,1,10,0.01282051282051282
quantity,0,12,0.0
relator,10,3,0.1282051282051282
role,26,1,0.3333333333333333
roleMixin,4,5,0.05128205128205128
situation,0,12,0.0
subkind,14,2,0.1794871794871795
type,1,10,0.01282051282051282
