Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1758,1,1758,20.199931058255775
subkind,1594,2,3352,38.51545444099736
kind,1218,3,4570,52.51062851890153
relator,1162,4,5732,65.86234631736183
category,526,5,6258,71.90623922785247
roleMixin,519,6,6777,77.86970010341263
mode,420,7,7197,82.69562219924164
event,362,8,7559,86.85510743421808
phase,290,9,7849,90.18729173848098
type,205,10,8054,92.54280133287372
quality,162,11,8216,94.4042284269792
collective,103,12,8319,95.58772836952775
mixin,82,13,8401,96.52993220728484
datatype,74,14,8475,97.38021371940711
situation,73,15,8548,98.219004940825
enumeration,63,16,8611,98.94289325519937
quantity,39,17,8650,99.3910145926692
historicalRole,23,18,8673,99.65529127886936
phaseMixin,20,19,8693,99.88509709295646
historicalRoleMixin,9,20,8702,99.98850970929564
abstract,1,21,8703,100.0
