year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.0011516946363935505,0.00016452780519907864,0.0003290556103981573,0.0,0.0,0.0,0.0,0.0014807502467917078,0.0003290556103981573,0.0006581112207963146,0.0006581112207963146,0.0,0.0,0.00016452780519907864,0.0004935834155972359,0.0011516946363935505,0.0,0.0,0.0004935834155972359,0.0,0.0,0.0
2007,0.0,0.0004935834155972359,0.0,0.00016452780519907864,0.0,0.0003290556103981573,0.0,0.0,0.0006581112207963146,0.0,0.00016452780519907864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006581112207963146,0.0,0.0,0.0008226390259953932
2011,0.0,0.0006581112207963146,0.0,0.0,0.0,0.0,0.0,0.0,0.0008226390259953932,0.0,0.0,0.0004935834155972359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004935834155972359,0.0,0.0,0.0
2012,0.0,0.0018098058571898651,0.0,0.0,0.0,0.0,0.0,0.0,0.006252056597564989,0.0,0.0,0.0,0.0,0.0,0.0,0.0026324448831852583,0.0014807502467917078,0.0,0.0,0.006910167818361303,0.0,0.0,0.0
2013,0.0,0.0,0.0014807502467917078,0.0004935834155972359,0.0,0.0,0.0,0.0,0.0018098058571898651,0.0,0.0,0.0,0.0,0.0,0.0,0.0003290556103981573,0.0004935834155972359,0.0,0.0,0.004442250740375123,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011516946363935505,0.0,0.0,0.0,0.0,0.0,0.0,0.0008226390259953932,0.0008226390259953932,0.0,0.0,0.0,0.0,0.0011516946363935505,0.0009871668311944718
2015,0.0,0.033234616650213884,0.00839091806515301,0.0004935834155972359,0.003784139519578809,0.0031260282987824943,0.0,0.0,0.0901612372490951,0.009049029285949325,0.03899308983218164,0.019907864429088516,0.0,0.0003290556103981573,0.0042777229351760445,0.13902599539322144,0.22145442579795985,0.0,0.0009871668311944718,0.14363277393879564,0.017439947351102335,0.025995393221454426,0.05001645278051991
2016,0.0,0.006745640013162225,0.0006581112207963146,0.00016452780519907864,0.0,0.0011516946363935505,0.0,0.0,0.0014807502467917078,0.0014807502467917078,0.0036196117143797303,0.0,0.0,0.0011516946363935505,0.0004935834155972359,0.0031260282987824943,0.002303389272787101,0.0,0.00016452780519907864,0.006745640013162225,0.0014807502467917078,0.0,0.002796972688384337
2017,0.0,0.002796972688384337,0.0,0.0,0.0,0.016452780519907863,0.0,0.0,0.007074695623560382,0.00016452780519907864,0.002303389272787101,0.0011516946363935505,0.0,0.0,0.0004935834155972359,0.0024679170779861796,0.008555445870352089,0.0,0.0006581112207963146,0.003784139519578809,0.0034550839091806516,0.010365251727541954,0.00608752879236591
2018,0.0,0.004442250740375123,0.0008226390259953932,0.0,0.0003290556103981573,0.0042777229351760445,0.0,0.0,0.005593945376768674,0.00016452780519907864,0.0029615004935834156,0.0003290556103981573,0.0,0.0006581112207963146,0.0,0.004935834155972359,0.0014807502467917078,0.0,0.0009871668311944718,0.007074695623560382,0.0004935834155972359,0.002796972688384337,0.007074695623560382
