Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,29,1,29,10.74074074074074
relator,28,2,57,21.11111111111111
category,27,3,84,31.11111111111111
subkind,27,4,111,41.11111111111111
role,26,5,137,50.74074074074074
roleMixin,19,6,156,57.77777777777777
mode,17,7,173,64.07407407407408
event,16,8,189,70.0
collective,12,9,201,74.44444444444444
other,10,10,211,78.14814814814814
mixin,9,11,220,81.48148148148148
phase,9,12,229,84.81481481481481
type,8,13,237,87.77777777777777
none,8,14,245,90.74074074074075
datatype,6,15,251,92.96296296296296
situation,6,16,257,95.18518518518519
quantity,5,17,262,97.03703703703704
enumeration,4,18,266,98.51851851851852
quality,4,19,270,100.0
historicalRole,0,20,270,100.0
abstract,0,21,270,100.0
phaseMixin,0,22,270,100.0
historicalRoleMixin,0,23,270,100.0
