stereotype,total_correlation,rank
category,3.3705253199477827,7
collective,3.2039699928543097,10
datatype,3.216804518545051,9
enumeration,1.9221497166986863,18
event,3.4419824972656174,6
kind,3.3494270125900334,8
mixin,4.19328335384511,1
mode,4.014198749544001,2
phase,3.018552385024769,11
quality,2.509102440945462,16
quantity,3.9393550153099257,3
relator,2.040397899654638,17
role,2.874226829608574,14
situation,2.9480890724481927,13
subkind,3.0075567475649176,12
type,3.6928181645224285,4
none,2.791548403496511,15
other,3.4543927571610054,5
