Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.0780397770903951,0.03902096766002568,0.004788906025305836,0.011122386190005933,0.0011846994025619256,0.06368231464765448,0.02388539524575377,0.06368231464765499,0.02514889730721029,0.0030176754781181675,0.030627534828654213,0.006443121750906548,0.03424802500195164,0.0284019815659126,0.0015591072725211902,0.012954842834542346,0.018335944505170232,0.03852395508679881,0.016470162419328763,0.02720632681196712,0.039542372530288486,0.02078748676417122,0.002073275659974165,0.017770785405535477,0.041109279265854705,0.019830411541650113,0.015576920497481911,0.04487019346200808,0.005428924390397903,0.03563701225543087,0.003157565117336718,0.04317418239088778,0.046769979471148714,0.05922765590474896,0.01788455192893782,0.015529627286180799,0.004175020124056447,0.04335624507473835,0.0005806857768239776,0.000699563133000354,0.0004627408400581165,0.0008193877690278392,0.0014332659940508446,0.04421510673738409,0.0019430759742761067
category,0.03902096766002568,2.2777526669429387,0.3255083027228992,0.3376873549029283,0.15984668087247655,0.6937714560973536,0.11462220884571844,0.08782535503190841,0.9374291218366115,0.24392575777110198,0.6884102460558038,0.5016110015823462,0.1209206060556424,0.5139288673520163,0.1657219974728006,0.7097773941258367,0.7813022923763345,0.6231289355646235,0.3282115325841334,1.0792475641403234,0.5462839358231394,0.3373330043843363,0.24361117311167158,0.24572586541432734,0.8364662869126847,0.13306182792276897,0.5465758573123412,0.26928317115362177,0.32502094056118536,0.2923417689013882,0.35453685103837507,0.24295708182490242,0.322395210390921,0.25826565588424777,0.6219704044549215,0.8113816103998799,0.33847700747828774,0.47021099363070074,0.06462722020944092,0.11427205082043972,0.09175177472450927,0.11140945698081745,0.18730401167018956,1.2706803047652044,0.211239227299979
collective,0.004788906025305836,0.3255083027228992,1.026388044591341,0.17824480078094412,0.08235152221984063,0.23119028008264428,0.04916688901224832,0.03166487603775389,0.4461580360857631,0.1224469249692916,0.2810414680750726,0.2962803073340597,0.03634375526057711,0.13705252636993545,0.14604951999863258,0.38650787754878113,0.4022674436710289,0.23656888929884398,0.055408519400721015,0.5312070802847895,0.23120706130516827,0.09818789419803861,0.07519584658530298,0.03819294531868796,0.3629336365889296,0.04711274094723946,0.3615451462728378,0.11836001044250097,0.21995227262774292,0.12966790885262586,0.2374268546407901,0.1011393170030642,0.13479800990812418,0.06255191642439842,0.35177781294045024,0.5234654639857869,0.505114442842266,0.20493806709024132,0.0536943475203526,0.20197403621877077,0.09995467114200923,0.03410025730750112,0.03010654077546121,0.5486131825117071,0.0880406381230797
datatype,0.011122386190005933,0.3376873549029283,0.17824480078094412,0.8813806971900466,0.1381839709997642,0.23865078337382342,0.053280253709125903,0.025684027477915306,0.38903003190276997,0.08349620199664048,0.23081827355569912,0.20161712235326112,0.08083030548756602,0.16479050632502207,0.09031435893478892,0.26525205917697514,0.27865885933665746,0.18933061925775613,0.0944165329293851,0.4167587655299584,0.15077474948629677,0.09465243912968979,0.07572897732342859,0.07015876191219261,0.2659670930636246,0.1221873859131174,0.30314209169142514,0.11542209786497441,0.10684134505720366,0.10499691271790514,0.10983043146378804,0.13861079540323795,0.1517009545178927,0.09248331294752114,0.2568367591866013,0.36510013216478143,0.14242660507228483,0.17390562916742996,0.023969297797904705,0.08480988831999611,0.02916283327891292,0.08395306664512873,0.03364854295275268,0.47988437947138834,0.07122155974007446
enumeration,0.0011846994025619256,0.15984668087247655,0.08235152221984063,0.1381839709997642,0.429559879560647,0.11927336647879899,0.03822364367154308,0.003611644614904104,0.23503728615951414,0.07228617277260832,0.15982451430080746,0.15404398454314938,0.04808273194162809,0.08890155510882283,0.10770876875582056,0.1832771301155899,0.2119417130015569,0.14709922715598603,0.06228561763379378,0.2271713597503523,0.13685093411289428,0.014188557879579795,0.010720602633283914,0.061136328841750534,0.16944706791423048,0.04752322133937753,0.17333808309224288,0.06789762102263941,0.08190875820231636,0.06318744641326816,0.06973641201324485,0.032641056936638164,0.07010404948650303,0.046839480360162215,0.180383210783104,0.20584676176725297,0.08481934170273411,0.06661111640877199,0.0029975206610786675,0.046968301123257436,0.04587193469079521,0.08045661197464897,0.007405674219166991,0.25184295484799213,0.06474184601509236
event,0.06368231464765448,0.6937714560973536,0.23119028008264428,0.23865078337382342,0.11927336647879899,2.0553106374427395,0.25405672887066194,0.1568466294780001,0.8717219180545119,0.171436485754473,0.6732922371466471,0.524554975877858,0.07686852389861318,0.4713305731747975,0.18838756501984985,0.648172149071077,0.7298905126703055,0.7281479230677499,0.5338922225044109,0.9584995126755258,0.6160221614447844,0.38559387973211356,0.29399366573071006,0.3082265726984466,0.8015552788829868,0.15673389617692632,0.44100960896118,0.5813606476029111,0.27671458731822357,0.464364414113983,0.2607275390969977,0.4495963109706062,0.44044293034840665,0.41592455512051496,0.6034509045575353,0.7935154948823453,0.25542458616162456,0.8427507105777565,0.15680709800668555,0.1155302973355797,0.09762943552377909,0.2062063511594004,0.26785539106546924,1.3063485002710993,0.2443468284749106
historicalRole,0.02388539524575377,0.11462220884571844,0.04916688901224832,0.053280253709125903,0.03822364367154308,0.25405672887066194,0.36498223184292455,0.08806007794879149,0.18273525219154113,0.018131790927967913,0.1051793037038098,0.10434426144141606,0.004351615970069493,0.06663548420368362,0.07580409277763281,0.1300990757494328,0.15981954232891527,0.1416266012027983,0.09843479481569575,0.18292232631594807,0.1340457496341169,0.03813092317275826,0.052294964507865575,0.023894282173615562,0.1224857466492513,0.04494187770383716,0.039790015115689754,0.2225031770959982,0.0913570637333696,0.15818780216416267,0.02600529604168763,0.09211261356322797,0.0994297861570198,0.18527468308985484,0.08085506294031555,0.20439812496775847,0.047941391698368356,0.2030759507025846,0.0026867805791707597,0.003237185151700392,0.0021408187192365966,0.11320616582096349,0.006637123957245049,0.24457577557303725,0.05176006548953309
historicalRoleMixin,0.06368231464765499,0.08782535503190841,0.03166487603775389,0.025684027477915306,0.003611644614904104,0.1568466294780001,0.08806007794879149,0.2399160692274273,0.09964312723128714,0.047651347046653914,0.04911021783997446,0.019707137434368048,0.04820252243000542,0.044297614569949205,0.029104117169093183,0.07454611300452463,0.0713360826854797,0.11791945293136818,0.040591502263475514,0.10757368139833243,0.16673513265166454,0.022197599200700906,0.006323700316387994,0.046030721165655514,0.08078022423800438,0.017328757930847025,0.0632203786338571,0.13559995958379575,0.016593440097354244,0.0836921008924924,0.06362025143023636,0.12729455518404492,0.14103906905033642,0.12573984449455897,0.04544047041235034,0.09682111392500294,0.030106003904381937,0.13559995958379584,0.016724744305109097,0.00213210609185549,0.0014101475293509177,0.03168622037358716,0.027271526099149762,0.14800646237883106,0.005926135696118363
kind,0.02514889730721029,0.9374291218366115,0.4461580360857631,0.38903003190276997,0.23503728615951414,0.8717219180545119,0.18273525219154113,0.09964312723128714,2.9383974806133617,0.2562834550108139,0.8304492462162799,0.7334846863280013,0.11516341575188732,0.6636802235542895,0.246547488603723,1.0812242478547711,1.2271639172374422,0.6841528717120358,0.31965150783054025,1.4459535644556403,0.5170017513800387,0.43797400203006964,0.30953848712054904,0.18744225115872037,1.0054775911427296,0.16296276587543376,0.8297652612413468,0.3775447021231684,0.5447218601459167,0.36340994561195794,0.38061871273659276,0.27435447209962144,0.3470766851607777,0.26054485508696185,0.901749041067005,1.1355499860863927,0.4070363571600545,0.57081616026322,0.10960501123084579,0.17171025356781888,0.11880822184229217,0.15759603978730322,0.14611445642411675,1.7545666098536712,0.302805155677021
mixin,0.0030176754781181675,0.24392575777110198,0.1224469249692916,0.08349620199664048,0.07228617277260832,0.171436485754473,0.018131790927967913,0.047651347046653914,0.2562834550108139,0.6796358820437063,0.2489157750139802,0.17993972254114848,0.01659608962169326,0.14637202957257314,0.10968539355604748,0.2733309569198328,0.3152640076307117,0.20999513954214433,0.0541609439113206,0.3371615266113097,0.21535481875191537,0.12079375168378398,0.10019900672510307,0.029784285575265766,0.2643785264291314,0.07671154892963974,0.2322761790746294,0.03222616537415417,0.13149293596925543,0.05725876818239493,0.2132684929242982,0.0501814866709194,0.03978135351849367,0.06340436686708428,0.2070464145610426,0.31059555822720036,0.14501614785516428,0.07599228634474964,0.0076413129286337506,0.09408715546477778,0.09589204882885075,0.010791139621247343,0.019225967559035842,0.3493695412531046,0.12901610641310135
