Stereotype,category,event,kind,mode,phase,quality,relator,role,subkind,type,none_c,other_c,characterization,derivation,formal,material,mediation,participation,none_r,other_r
category,1.0,0.11133580974892195,0.0414484888601659,0.3757992544456154,0.05838512061495696,0.19259017991578972,0.010656213637849602,0.046513949519857545,0.29933898639485945,0.32264464153912326,0.07021741330761291,0.2804957059694928,0.36514225267924877,0.009916221395048613,0.012877081730995315,0.14886886846730948,0.094436601319251,0.12869847301258655,0.135344917285325,0.24781323439489772
event,0.11133580974892195,1.0,0.2127274958649065,0.19542930601779265,0.10405293912354782,0.10559775812557068,0.044310288898382774,0.003948132772989974,0.00792519372040046,0.3096764976927816,0.12184277913381135,0.34789650412164635,0.20754141815519825,0.013218879493124744,0.02342648028732848,0.020010749757363937,0.03416825663976446,0.6226191675016144,0.25565986652118816,0.30572862386938665
kind,0.0414484888601659,0.2127274958649065,1.0,0.10761152980407827,0.27086995518800006,0.09738567209492428,0.23253862070664985,0.4369055945890265,0.4880526993154439,0.1364862873499991,0.011177791853916336,0.2106914465328719,0.027095851626725447,0.2621206873509797,0.016767214953863213,0.36672207689704517,0.2522524192239748,0.17616612830818687,0.05664936813876501,0.10555386712019385
mode,0.3757992544456154,0.19542930601779265,0.10761152980407827,1.0,0.14103607786144962,0.19982342161738934,0.16181174047262598,0.1954840707214241,0.22325858760886122,0.301994059195616,0.19164838291367423,0.1624059179813621,0.5470117181321975,0.06771442516892134,0.04885901407779089,0.17531178636728187,0.2610592355849,0.09593981367274866,0.11898870922026972,0.2542547525442995
phase,0.05838512061495696,0.10405293912354782,0.27086995518800006,0.14103607786144962,1.0,0.11589737226181676,0.20043602869912214,0.32915356412422364,0.34907974429433436,0.0411341073343744,0.04238912356545384,0.03195679456179107,0.10671414280198525,0.18451022722721178,0.06927304363660525,0.18729756032650058,0.30054657064757595,0.06768778361749107,0.04509843645278478,0.1686236442577887
quality,0.19259017991578972,0.10559775812557068,0.09738567209492428,0.19982342161738934,0.11589737226181676,1.0,0.1390559860789165,0.10654237956539395,0.1713708572318076,0.1424917089742061,0.1523001444696412,0.036674609333103896,0.5279711309353697,0.056565744729642105,0.1505646318647897,0.01801706875985267,0.12822411214949475,0.26009994452838514,0.0199900180882427,0.09441770359672962
relator,0.010656213637849602,0.044310288898382774,0.23253862070664985,0.16181174047262598,0.20043602869912214,0.1390559860789165,1.0,0.27465966834294203,0.13892957821775892,0.0320303319910623,0.18864656128387056,0.0687739053971626,0.2965452327791882,0.3669235593094919,0.13246680195158672,0.33058834545136095,0.7460537648411351,0.0482881056326722,0.0755222994685665,0.19926063590435275
role,0.046513949519857545,0.003948132772989974,0.4369055945890265,0.1954840707214241,0.32915356412422364,0.10654237956539395,0.27465966834294203,1.0,0.14647543351154335,0.04094059121300611,0.06517316950029065,0.032301729941991195,0.080805213405821,0.23178900656529663,0.01719977048103561,0.19521834857115425,0.25960887767650054,0.17276931945431556,0.01935995115919823,0.09734844294398703
subkind,0.29933898639485945,0.00792519372040046,0.4880526993154439,0.22325858760886122,0.34907974429433436,0.1713708572318076,0.13892957821775892,0.14647543351154335,1.0,0.05978955410150743,0.03652193893203186,0.011187746039252025,0.08516191572322945,0.016789696969220308,0.03215071878280532,0.17066781298449024,0.1910410727269627,0.06577039673108616,0.014439635473175151,0.15887760458151765
type,0.32264464153912326,0.3096764976927816,0.1364862873499991,0.301994059195616,0.0411341073343744,0.1424917089742061,0.0320303319910623,0.04094059121300611,0.05978955410150743,1.0,0.10676684936334481,0.3013387852257297,0.28230544697803295,0.1453709261477837,0.15490416434814405,0.011956117831550768,0.0264256987076991,0.30621997297737563,0.11238146943219311,0.31346007393027664
