Stereotype,average_quantity,rank,proportion
bringsAbout,0,10,0.0
characterization,3,5,0.057692307692307696
comparative,0,10,0.0
componentOf,4,3,0.07692307692307693
creation,0,10,0.0
derivation,1,7,0.019230769230769232
externalDependence,0,10,0.0
historicalDependence,0,10,0.0
instantiation,0,10,0.0
manifestation,0,10,0.0
material,4,3,0.07692307692307693
mediation,22,1,0.4230769230769231
memberOf,1,7,0.019230769230769232
participation,1,7,0.019230769230769232
participational,0,10,0.0
subCollectionOf,0,10,0.0
subQuantityOf,0,10,0.0
termination,0,10,0.0
triggers,0,10,0.0
none,13,2,0.25
other,3,5,0.057692307692307696
