Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.0035026269702276708,0.07317073170731707,0.0732545177738325,15,Q3
characterization,0.06900175131348511,0.4817073170731707,0.48662427087657706,4,Q1
comparative,0.00443666082895505,0.042682926829268296,0.04291289086071755,18,Q3
componentOf,0.08032691185055459,0.39634146341463417,0.404399515812149,5,Q1
creation,0.0070052539404553416,0.10975609756097561,0.10997942777894719,11,Q2
derivation,0.033975481611208405,0.3719512195121951,0.3734997229548139,6,Q1
externalDependence,0.008990075890251022,0.13414634146341464,0.13444724761976912,10,Q1
historicalDependence,0.0051371862230005835,0.0975609756097561,0.09769613423374136,13,Q3
instantiation,0.008056042031523642,0.10365853658536585,0.1039711114696448,12,Q4
manifestation,0.00396964389959136,0.07317073170731707,0.07327833275446255,14,Q3
material,0.08709865732632809,0.5060975609756098,0.5135376493827012,3,Q1
mediation,0.2840630472854641,0.7073170731707317,0.7622265128109321,1,Q1
memberOf,0.0297723292469352,0.29878048780487804,0.30026017298621005,8,Q1
participation,0.024635143023934616,0.17682926829268292,0.17853705608846404,9,Q1
participational,0.00198482194979568,0.024390243902439025,0.024470870760822036,19,Q3
subCollectionOf,0.004786923525977817,0.06707317073170732,0.0672437719707061,16,Q3
subQuantityOf,0.0016345592527729131,0.024390243902439025,0.024444954112685293,20,Q3
termination,0.0005837711617046118,0.018292682926829267,0.01830199544942433,21,Q3
triggers,0.0018680677174547577,0.06097560975609756,0.061004218396147794,17,Q3
none,0.2679509632224168,0.7134146341463414,0.7620749037371453,2,Q1
other,0.07122008172796264,0.3353658536585366,0.3428447984751361,7,Q1
