model,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abel2015petroleum-system,0,0,0,1,5,3,0,0,4,1,0,0,0,2,6,0,3,0,4,0,0,0,0
abrahao2018agriculture-operations,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,2,0,0,2
aguiar2018rdbs-o,0,4,1,0,0,0,0,0,12,0,3,0,0,0,0,0,2,0,0,21,0,0,0
aguiar2019ooco,0,5,0,0,0,0,0,0,11,0,0,0,0,6,0,2,3,0,0,29,0,0,0
aires2022valuenetworks-geo,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,2,0,0,2
alpinebits2022,0,5,1,13,4,0,0,0,9,0,0,5,3,2,0,2,0,8,0,22,4,0,0
amaral2019rot,0,14,0,1,0,4,0,0,1,0,2,0,0,4,0,1,3,8,2,8,0,0,0
amaral2020game-theory,0,1,0,1,0,11,0,0,0,0,3,0,0,1,0,1,0,1,3,0,0,0,0
amaral2020rome,0,6,0,2,0,0,0,0,6,0,6,0,2,5,0,5,0,10,0,3,3,0,0
amaral2022ethical-requirements,0,17,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0
andersson2018value-ascription,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
andrade2023integracao,0,2,1,0,0,0,0,0,9,1,0,0,0,4,0,4,13,2,0,7,0,1,0
barcelos2013normative-acts,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,27,0,0,0
barcelos2024resiliont,0,5,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,36,3,0,4,0,0
barros2020programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0
bernasconi2021ontovcm,0,3,2,0,0,8,3,1,13,0,0,0,0,0,1,9,5,4,0,17,10,0,0
bernasconi2023fair-principles,0,3,2,0,0,0,0,0,9,0,1,0,0,0,0,4,9,1,0,17,0,0,0
brazilian-governmental-organizational-structures,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
buchtela2020connection,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,2,0,0,0,0,0,0
buridan-ontology2021,0,1,0,0,0,0,0,0,11,1,6,0,0,0,0,4,5,0,0,26,0,0,0
carolla2014campus-management,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0
castro2012cloudvulnerability,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,6,3,0,0,10,0,0,0
cgts2021sebim,0,1,0,0,0,0,0,0,5,0,1,0,0,2,0,1,4,0,0,15,0,0,0
cmpo2017,0,4,0,0,0,22,0,0,5,1,1,6,0,0,0,0,7,2,0,5,0,2,0
core-o2023,0,8,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,4,2,8,0,0
dcat-mlt-ufo2023,0,5,0,4,0,0,0,0,3,0,1,0,0,1,0,3,1,1,0,4,1,6,0
demori2023miscon,0,4,0,0,0,0,0,0,9,1,1,0,0,8,0,1,7,0,0,0,0,0,0
dpo2017,0,3,0,0,0,18,0,0,5,0,0,0,0,0,0,0,2,1,0,11,0,0,0
duarte2020jogabilidade,0,0,0,4,0,1,0,0,5,0,0,0,0,4,0,1,2,0,2,0,0,0,0
elghosh2020cargos,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,2,2,0,1,0,0,0
elghosh2024eucaim,0,1,0,0,0,11,0,0,3,0,2,2,0,4,0,0,2,0,1,12,0,0,0
elikan2018brand-identity,0,3,6,0,0,0,0,0,10,0,8,0,0,0,0,1,0,0,0,2,0,0,0
eu-rent-refactored2022,0,0,0,0,0,0,0,0,4,1,0,15,0,0,0,14,21,1,0,10,0,0,0
falduci2022non-consensual-pornography,0,3,0,0,0,3,0,0,2,0,4,0,0,0,0,4,9,2,0,0,0,0,0
fernandez-cejas2022curie-o,0,0,1,0,0,7,0,0,4,0,1,12,0,0,0,2,0,0,0,2,0,0,0
fischer2018ontorea,0,0,1,0,0,2,0,0,5,0,0,4,0,0,0,2,0,0,0,4,0,0,0
fonseca2022incorporating,0,2,0,0,0,0,0,0,10,0,1,10,2,1,0,6,7,4,0,5,3,0,0
formula-one2023,0,1,1,0,0,0,0,0,8,0,1,2,2,0,0,1,7,1,0,2,0,0,0
fraller2019abc,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,6,0,0,0,19,0,0,0
franco2018rpg,0,4,2,0,0,0,0,0,8,0,3,0,0,0,0,1,1,0,0,1,0,0,3
fumagalli2022criminal-investigation,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0
gailly2016value,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8
garcia2022human-genome-events,0,1,0,2,0,5,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
gomes2022digital-technology,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grueau2013towards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
guarino2016value,0,3,0,0,0,0,0,0,0,1,0,0,0,7,0,4,2,1,0,0,0,0,0
guarino2018rea,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,3,0,2,0,0,0
guizzardi2005ontological,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
guizzardi2020decision-making,0,0,0,0,0,3,0,0,3,1,8,0,0,4,0,4,3,3,0,0,1,24,0
guizzardi2022ufo,0,0,1,0,2,7,0,0,11,0,3,4,0,1,1,6,17,0,0,7,2,0,0
haridy2021egyptian-e-government,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,8,2,0,0,14,0,0,0
heirbrant2023boekbazaar,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,3,0,9,0,5,0,0,0
jacobs2022sdpontology,0,1,0,1,12,0,0,0,14,0,0,0,0,2,0,1,2,0,0,1,0,0,0
junior2018o4c,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0
