Stereotype,DistanceFromOrigin,Rank
kind,101.00344915905504,1
relator,91.00310765815851,2
subkind,88.00300520788954,3
category,86.00293690771024,4
role,84.00286860753093,5
mode,58.00198070519993,6
roleMixin,54.00184410484131,7
event,53.00180995475166,8
quality,44.00150260394477,9
phase,41.00140015367581,10
collective,35.00119525313789,11
datatype,26.000887902331,12
type,26.000887902331,12
none,23.00078545206204,13
mixin,22.000751301972386,14
situation,21.000717151882732,15
other,19.000648851703424,16
quantity,12.000409801075849,17
enumeration,8.000273200717231,18
phaseMixin,8.000273200717231,18
historicalRole,4.000136600358616,19
historicalRoleMixin,3.000102450268962,20
abstract,1.000034150089654,21
