Construct Pair,Jaccard Similarity,Mutual Information
abstract - category,0.0116279069767441,0.0364078720846304
abstract - collective,0.0,0.0028358364234331
abstract - datatype,0.0,0.0020086918569354
abstract - enumeration,0.0,0.0005677434207961
abstract - event,0.0188679245283018,0.0320835072601303
abstract - historicalRole,0.0,0.0002789973583562
abstract - historicalRoleMixin,0.3333333333333333,0.0364078720846307
abstract - kind,0.0,0.0150524133590309
abstract - mixin,0.0,0.0016660713202636
abstract - mode,0.0172413793103448,0.0187288019323655
abstract - phase,0.0,0.0034371607797052
abstract - phaseMixin,0.125,0.047864850275705
abstract - quality,0.0227272727272727,0.0219186613287022
abstract - quantity,0.0,0.0008669442132167
abstract - relator,0.0,0.0116306157281264
abstract - role,0.0,0.0098707925615193
abstract - roleMixin,0.0185185185185185,0.0478648502757041
abstract - situation,0.0476190476190476,0.0271870641790855
abstract - subkind,0.0,0.0108301342525422
abstract - type,0.0384615384615384,0.0364078720846307
abstract - none,0.0434782608695652,0.032083507260131
abstract - other,0.0,0.0014181167713374
category - collective,0.2872340425531915,0.3549102952958103
category - datatype,0.2307692307692307,0.3532731273125949
category - enumeration,0.0561797752808988,0.1464617056720931
category - event,0.404040404040404,0.6762009714571627
category - historicalRole,0.0344827586206896,0.0707988001869351
category - historicalRoleMixin,0.0348837209302325,0.0563462452762279
category - kind,0.6260869565217392,1.0461684830545996
category - mixin,0.2134831460674157,0.2630115556512219
category - mode,0.5483870967741935,0.739922490256488
category - phase,0.3368421052631579,0.5465341724761519
category - phaseMixin,0.0930232558139534,0.1337992706340202
category - quality,0.3829787234042553,0.5573678637491433
category - quantity,0.1136363636363636,0.1781751388595059
category - relator,0.5663716814159292,0.7433666068400571
category - role,0.5454545454545454,0.803169066762041
category - roleMixin,0.4893617021276595,0.6505629650811684
category - situation,0.2022471910112359,0.3056875892337752
category - subkind,0.6730769230769231,1.137034918980489
category - type,0.2727272727272727,0.5532121418431111
category - none,0.1847826086956521,0.3819819097712379
category - other,0.1666666666666666,0.2677839725825596
collective - datatype,0.22,0.1964597835781513
collective - enumeration,0.075,0.0840614483556558
collective - event,0.1891891891891892,0.2360849334388503
collective - historicalRole,0.054054054054054,0.0442222633802833
collective - historicalRoleMixin,0.027027027027027,0.0274803726669964
collective - kind,0.3076923076923077,0.493766710133197
collective - mixin,0.1875,0.1370930642485269
collective - mode,0.3098591549295774,0.3219808303646388
collective - phase,0.3571428571428571,0.317658715782708
collective - phaseMixin,0.075,0.0395256678510069
collective - quality,0.1791044776119403,0.1526887590542392
collective - quantity,0.2051282051282051,0.158845795919096
collective - relator,0.3404255319148936,0.4240720601584717
collective - role,0.2934782608695652,0.4309431816964986
collective - roleMixin,0.2027027027027027,0.2510737663261113
collective - situation,0.0181818181818181,0.0576388781598733
collective - subkind,0.3225806451612903,0.5701587151339884
collective - type,0.196078431372549,0.2556237609206318
collective - none,0.074074074074074,0.1121105282589353
collective - other,0.08,0.0902143043048347
datatype - enumeration,0.1333333333333333,0.1494278295506023
datatype - event,0.2153846153846154,0.2271663818395822
datatype - historicalRole,0.0344827586206896,0.0313982047862052
datatype - historicalRoleMixin,0.0357142857142857,0.0179641064226527
datatype - kind,0.233009708737864,0.402022569917922
datatype - mixin,0.1707317073170731,0.0917707598509078
datatype - mode,0.2,0.2593582048922423
datatype - phase,0.1551724137931034,0.2140755365666285
datatype - phaseMixin,0.0967741935483871,0.0866316532004563
datatype - quality,0.2280701754385964,0.1830163401309384
datatype - quantity,0.1875,0.1039410164701709
datatype - relator,0.17,0.2765862692811921
datatype - role,0.1956521739130435,0.3179144055583117
datatype - roleMixin,0.1428571428571428,0.2014282471790698
datatype - situation,0.2051282051282051,0.1130860079270754
datatype - subkind,0.2258064516129032,0.4316258624558326
datatype - type,0.1555555555555555,0.1718200273607191
datatype - none,0.1136363636363636,0.1045092076108865
datatype - other,0.125,0.1019442245163874
enumeration - event,0.0517241379310344,0.0881502963284055
enumeration - historicalRole,0.0,0.0023008371433912
enumeration - historicalRoleMixin,0.0,0.0017180748175919
enumeration - kind,0.0792079207920792,0.207463010274435
enumeration - mixin,0.0714285714285714,0.0752748697109593
enumeration - mode,0.0476190476190476,0.1349333120875888
enumeration - phase,0.0888888888888888,0.1353774666163607
enumeration - phaseMixin,0.0666666666666666,0.0514508509429402
enumeration - quality,0.0833333333333333,0.0942267288593473
enumeration - quantity,0.1764705882352941,0.1146054576167476
enumeration - relator,0.0760869565217391,0.1670138852407054
enumeration - role,0.0697674418604651,0.1924005318404693
enumeration - roleMixin,0.0689655172413793,0.1364180500164486
enumeration - situation,0.074074074074074,0.0631776793545495
enumeration - subkind,0.0786516853932584,0.211125256022477
enumeration - type,0.0967741935483871,0.1138699744071036
enumeration - none,0.0,0.0144784291133798
enumeration - other,0.0,0.0117216122404616
event - historicalRole,0.0754716981132075,0.1337589573575937
event - historicalRoleMixin,0.0566037735849056,0.0889107156880049
event - kind,0.3391304347826087,0.8221482967381007
event - mixin,0.1194029850746268,0.1789831032886729
event - mode,0.3875,0.6114378207161207
event - phase,0.2702702702702703,0.4825673511747678
event - phaseMixin,0.0517241379310344,0.0803133477189012
event - quality,0.2933333333333333,0.4422482847638231
event - quantity,0.1403508771929824,0.1835118965811804
event - relator,0.3584905660377358,0.599636994897469
