Stereotype,DistanceFromOrigin,Rank
subkind,2023.06908563137,1
role,1845.0630069154115,2
kind,1586.0541620421911,3
relator,1247.0425851617986,4
category,582.0198753521786,5
roleMixin,576.0196704516406,6
mode,543.0185434986821,7
event,474.01618714249594,8
none,380.0129770340685,9
phase,332.0113378297651,10
quality,251.00857167250314,11
type,213.0072739690963,12
collective,132.00450781183432,13
other,110.00375650986193,14
datatype,88.00300520788954,15
mixin,84.00286860753093,16
situation,79.00269785708267,17
enumeration,63.002151455648196,18
quantity,44.00150260394477,19
historicalRole,23.00078545206204,20
phaseMixin,20.000683001793078,21
historicalRoleMixin,9.000307350806885,22
abstract,1.000034150089654,23
