stereotype,total_correlation,rank
category,2.9982972434418294,7
collective,2.3603028331146914,15
datatype,2.3987909109539807,14
event,3.6372935660667745,1
kind,3.020459155471708,6
mixin,3.101892926802158,5
mode,3.285894066868357,3
phase,2.5541508992223507,12
quality,3.166787985185083,4
relator,2.089904506059901,17
role,2.402499835936948,13
roleMixin,3.391435419363223,2
situation,2.881328149072375,9
subkind,2.92373203817482,8
type,2.636786787810334,11
none,2.7002340174200654,10
other,2.340896689986798,16
