Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.1080849921254302,0.14509055051458614,0.32569829920883336,0.3525488312669209,0.36853235832580133,0.13237970826002513,-0.02446608718327483,0.04217153953047407,0.30152792387310445,-0.04266395305449301,0.562274160459184,0.2920095874258828,-0.08675865935586573,-0.057692960843581186
collective,0.1080849921254302,1.0,-0.30363709767624036,0.10801839525338089,0.31345676234753095,0.10779605007350522,0.01980177799483615,-0.08645418872078049,-0.12204579034463567,-0.06836851422450387,-0.2166769017494549,0.09232298644837328,0.019806925993881872,-0.240976331293352,-0.13935684980846086
event,0.14509055051458614,-0.30363709767624036,1.0,-0.28655142997410527,0.20150493461570915,-0.024857110223893225,0.050460394982251036,-0.4522765894692823,0.03558810826065272,0.38787794080880905,0.39366827852477126,0.07798952834801867,0.3874006036514303,0.5023898166362419,0.22483228475367803
kind,0.32569829920883336,0.10801839525338089,-0.28655142997410527,1.0,0.06989094946553404,-0.0020191287227131352,-0.34913578650378857,0.12836563769631845,0.43847374930306227,-0.3676878728021839,-0.3547081984960854,0.4629024663872307,-0.0170719670304665,-0.10373273812938733,-0.17362390206500972
mode,0.3525488312669209,0.31345676234753095,0.20150493461570915,0.06989094946553404,1.0,0.19932421777028472,-0.13243866129977294,-0.02122767272027669,0.08529895846407931,0.472407934466511,-0.13383507647907986,0.15237779806032026,0.1263115530789251,0.17653606552158357,-0.03896441149236679
phase,0.36853235832580133,0.10779605007350522,-0.024857110223893225,-0.0020191287227131352,0.19932421777028472,1.0,0.02365739362469855,-0.0010158928783214987,0.2852404295311773,0.25308016833182595,-0.001992236163005431,0.20168278778929075,0.023663543993611685,-0.03323485967503693,-0.07663876147746518
quality,0.13237970826002513,0.01980177799483615,0.050460394982251036,-0.34913578650378857,-0.13243866129977294,0.02365739362469855,1.0,0.048209175421977016,-0.11865256780537187,0.3009041326369817,0.3899837935127285,-0.07875133994297498,0.38835457511697197,-0.17348755324778936,-0.20692654737873867
relator,-0.02446608718327483,-0.08645418872078049,-0.4522765894692823,0.12836563769631845,-0.02122767272027669,-0.0010158928783214987,0.048209175421977016,1.0,0.30900479500838673,0.17110975630315198,-0.0654945707677099,-0.17998968120765485,-0.07459295561407382,-0.4160081336726537,-0.15812710390831222
role,0.04217153953047407,-0.12204579034463567,0.03558810826065272,0.43847374930306227,0.08529895846407931,0.2852404295311773,-0.11865256780537187,0.30900479500838673,1.0,-0.006019570602691629,-0.105986239332524,-0.026972547496473175,0.1030910783276311,0.13828292737557968,-0.14127622445331794
roleMixin,0.30152792387310445,-0.06836851422450387,0.38787794080880905,-0.3676878728021839,0.472407934466511,0.25308016833182595,0.3009041326369817,0.17110975630315198,-0.006019570602691629,1.0,0.09923117754779888,0.07972174411368303,0.36432979318016917,0.02489313131132714,-0.17888934367963896
situation,-0.04266395305449301,-0.2166769017494549,0.39366827852477126,-0.3547081984960854,-0.13383507647907986,-0.001992236163005431,0.3899837935127285,-0.0654945707677099,-0.105986239332524,0.09923117754779888,1.0,-0.19552396335184635,0.11702555405278657,-0.19723138013753766,0.3881573796404614
subkind,0.562274160459184,0.09232298644837328,0.07798952834801867,0.4629024663872307,0.15237779806032026,0.20168278778929075,-0.07875133994297498,-0.17998968120765485,-0.026972547496473175,0.07972174411368303,-0.19552396335184635,1.0,0.12449568217528674,-0.0012716443114078862,-0.2693745138386045
type,0.2920095874258828,0.019806925993881872,0.3874006036514303,-0.0170719670304665,0.1263115530789251,0.023663543993611685,0.38835457511697197,-0.07459295561407382,0.1030910783276311,0.36432979318016917,0.11702555405278657,0.12449568217528674,1.0,0.34312138790736946,0.0388088143950601
none,-0.08675865935586573,-0.240976331293352,0.5023898166362419,-0.10373273812938733,0.17653606552158357,-0.03323485967503693,-0.17348755324778936,-0.4160081336726537,0.13828292737557968,0.02489313131132714,-0.19723138013753766,-0.0012716443114078862,0.34312138790736946,1.0,0.09579845184683149
other,-0.057692960843581186,-0.13935684980846086,0.22483228475367803,-0.17362390206500972,-0.03896441149236679,-0.07663876147746518,-0.20692654737873867,-0.15812710390831222,-0.14127622445331794,-0.17888934367963896,0.3881573796404614,-0.2693745138386045,0.0388088143950601,0.09579845184683149,1.0
