Group,DistanceFromOrigin,Rank
sortal,136.23645584360466,1
rigid,130.25214601780803,2
rigid_sortal,125.59579261014873,3
non_rigid,107.68038333224676,4
non_sortal,95.57895581107194,5
non_rigid_sortal,91.81818181818181,6
rigid_non_sortal,86.13440256346769,7
non_rigid_non_sortal,64.25281381429483,8
temporal,53.22005663259136,9
undef,37.220950458892304,10
abstracts,31.025441725900947,11
none,23.213416687240844,12
other,19.021736153174654,13
