Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,derivation,material,mediation,none_r,other_r
category,1.0,0.09403385334378886,0.0973767543918162,0.359387643415108,0.39097278369872407,0.015718637383884834,0.008831532672452621,0.3162708542006183,0.5486907674459186,0.2150715942352383,0.0668774455033126,0.36719483601856945,0.039610696363270734,0.027659484096834993,0.2287536448393519,0.3488476942197912,0.1732365424792888,0.13989627035864713
event,0.09403385334378886,1.0,0.3980204520594794,0.16650536992736256,0.024141964734487605,0.38946858570415216,0.06778224499252501,0.35438398028511725,0.06641284284924708,0.389302689641075,0.26148685310682496,0.12668162305644498,0.29101433102070207,0.21545978745115246,0.08919791089418756,0.13264456522775994,0.27191743988831063,0.04111438685148349
kind,0.0973767543918162,0.3980204520594794,1.0,0.039006662975072486,0.06119850251452909,0.09873591408137011,0.4350279608757728,0.34335027231913157,0.3215231867976728,0.2578067295681324,0.10896507041903689,0.13776765828593202,0.3570156196674924,0.28551203627515687,0.5076066246861926,0.02792065806545158,0.09675843487481921,0.05729519134019828
mode,0.359387643415108,0.16650536992736256,0.039006662975072486,1.0,0.2816379366039363,0.023745991045845002,0.02269509524159334,0.45507493074433697,0.2417996062351666,0.046148375762595374,0.01414406089846988,0.3774731790378701,0.06781775003066028,0.004484468508899875,0.03037461049709443,0.2770093948567197,0.09092771330546799,0.04647359549485725
phase,0.39097278369872407,0.024141964734487605,0.06119850251452909,0.2816379366039363,1.0,0.010364425222735337,0.24935637040325212,0.2673898745092207,0.26536485324971737,0.007659726209702875,0.0888801578394582,0.03353268058004283,0.019085467744628052,0.1571563710066879,0.12737919502356362,0.05568087468124233,0.014233957460749099,0.15978074796479402
relator,0.015718637383884834,0.38946858570415216,0.09873591408137011,0.023745991045845002,0.010364425222735337,1.0,0.1966098645785865,0.1869307585636985,0.13690683509461252,0.42070729557925274,0.17581721173551443,0.2650046326341985,0.029125249962064132,0.40242771343798195,0.06167754336124375,0.595163905335002,0.042287384229277636,0.16348759900845847
role,0.008831532672452621,0.06778224499252501,0.4350279608757728,0.02269509524159334,0.24935637040325212,0.1966098645785865,1.0,0.024258745603606417,0.024250236292059392,0.04302434584228243,0.1998743457587695,0.04559899927630854,0.04740796148459268,0.22466838313951693,0.34383508932050333,0.06517681932078435,0.35866339369446193,0.15064030163261008
roleMixin,0.3162708542006183,0.35438398028511725,0.34335027231913157,0.45507493074433697,0.2673898745092207,0.1869307585636985,0.024258745603606417,1.0,0.12774100531053548,0.02023852340837794,0.17425599729640576,0.3225839079693659,0.2945139375513038,0.21288506678241345,0.22358998454437445,0.27809624996275656,0.1524589009520853,0.05287761566967356
subkind,0.5486907674459186,0.06641284284924708,0.3215231867976728,0.2417996062351666,0.26536485324971737,0.13690683509461252,0.024250236292059392,0.12774100531053548,1.0,0.042191502135095614,0.099928182843301,0.06802936816333749,0.3168959998244365,0.026250430504961786,0.2999766041637648,0.19364918162047545,0.08581372746503443,0.21205025457510923
none_c,0.2150715942352383,0.389302689641075,0.2578067295681324,0.046148375762595374,0.007659726209702875,0.42070729557925274,0.04302434584228243,0.02023852340837794,0.042191502135095614,1.0,0.15283379967776323,0.2862044158576766,0.11647587458145564,0.20561330808977746,0.008178091407805952,0.2457479840072385,0.23885919918306858,0.1523365712978613
other_c,0.0668774455033126,0.26148685310682496,0.10896507041903689,0.01414406089846988,0.0888801578394582,0.17581721173551443,0.1998743457587695,0.17425599729640576,0.099928182843301,0.15283379967776323,1.0,0.033957837414617,0.093218293835456,0.10519045304741935,0.0,0.12265554285200413,0.23007600772555117,0.035424243503868726
characterization,0.36719483601856945,0.12668162305644498,0.13776765828593202,0.3774731790378701,0.03353268058004283,0.2650046326341985,0.04559899927630854,0.3225839079693659,0.06802936816333749,0.2862044158576766,0.033957837414617,1.0,0.13610644614970624,0.14432333859111413,0.12537926787487616,0.5943509184543871,0.14745910498927514,0.3822154232000358
componentOf,0.039610696363270734,0.29101433102070207,0.3570156196674924,0.06781775003066028,0.019085467744628052,0.029125249962064132,0.04740796148459268,0.2945139375513038,0.3168959998244365,0.11647587458145564,0.093218293835456,0.13610644614970624,1.0,0.21109893072060257,0.15873142618979322,0.03753945910385266,0.25995137173392374,0.07762425823379492
derivation,0.027659484096834993,0.21545978745115246,0.28551203627515687,0.004484468508899875,0.1571563710066879,0.40242771343798195,0.22466838313951693,0.21288506678241345,0.026250430504961786,0.20561330808977746,0.10519045304741935,0.14432333859111413,0.21109893072060257,1.0,0.6433905033165364,0.3592540730923385,0.04245667984916338,0.4666826340761234
material,0.2287536448393519,0.08919791089418756,0.5076066246861926,0.03037461049709443,0.12737919502356362,0.06167754336124375,0.34383508932050333,0.22358998454437445,0.2999766041637648,0.008178091407805952,0.0,0.12537926787487616,0.15873142618979322,0.6433905033165364,1.0,0.16548673301351713,0.07670311507814641,0.22874202513119993
mediation,0.3488476942197912,0.13264456522775994,0.02792065806545158,0.2770093948567197,0.05568087468124233,0.595163905335002,0.06517681932078435,0.27809624996275656,0.19364918162047545,0.2457479840072385,0.12265554285200413,0.5943509184543871,0.03753945910385266,0.3592540730923385,0.16548673301351713,1.0,0.20912475863427316,0.3066053484317403
none_r,0.1732365424792888,0.27191743988831063,0.09675843487481921,0.09092771330546799,0.014233957460749099,0.042287384229277636,0.35866339369446193,0.1524589009520853,0.08581372746503443,0.23885919918306858,0.23007600772555117,0.14745910498927514,0.25995137173392374,0.04245667984916338,0.07670311507814641,0.20912475863427316,1.0,0.2584845245890011
other_r,0.13989627035864713,0.04111438685148349,0.05729519134019828,0.04647359549485725,0.15978074796479402,0.16348759900845847,0.15064030163261008,0.05287761566967356,0.21205025457510923,0.1523365712978613,0.035424243503868726,0.3822154232000358,0.07762425823379492,0.4666826340761234,0.22874202513119993,0.3066053484317403,0.2584845245890011,1.0
