stereotype,total_correlation,rank
category,3.4912811216266606,8
event,3.462144562362081,9
kind,4.025799437581277,2
mode,2.2943705761038253,16
phase,2.1871984800926945,17
relator,3.6074069728716234,7
role,2.679273775568574,14
roleMixin,3.9046225350792705,3
subkind,3.314047765102738,11
none_c,3.088827435119372,12
other_c,2.091828734207844,18
characterization,3.714658897811961,6
componentOf,2.663952366324807,15
derivation,3.843120311442772,4
material,3.7323315360504408,5
mediation,4.314217759753417,1
none_r,3.4279473488987042,10
other_r,3.0882655636799097,13
