Stereotype,DistanceFromOrigin,Rank
role,1436.0002003848574,1
subkind,1016.0002112454956,2
relator,905.0002627757943,3
kind,674.0005080850681,4
roleMixin,311.0003746876937,5
category,285.00083442729925,6
mode,278.00030795798136,7
none,228.00012777183144,8
type,136.00015737558218,9
phase,135.00028185111725,10
event,128.0006688448637,11
mixin,67.00056790715355,12
collective,65.00074087202398,13
other,58.00050227344124,14
quantity,33.00045039868475,15
enumeration,23.000232641122977,16
situation,11.000864737386488,17
datatype,10.002140080158613,18
quality,9.00026423181944,19
historicalRoleMixin,0.0,20
phaseMixin,0.0,20
abstract,0.0,20
historicalRole,0.0,20
