Stereotype,DistanceFromOrigin,Rank
role,1436.0000038952403,1
subkind,1016.0000041063582,2
relator,905.0000051080453,3
kind,674.0000098765648,4
roleMixin,311.00000728348135,5
category,285.000016220284,6
mode,278.0000059863351,7
none,228.00000248373104,8
type,136.00000305919332,9
phase,135.00000547885153,10
event,128.0000130015711,11
mixin,67.00001103947626,12
collective,65.00001440173942,13
other,58.0000097636316,14
quantity,33.00000875526601,15
enumeration,23.00000452228538,16
situation,11.000016810100119,17
datatype,10.000041604943037,18
quality,9.00000513642194,19
historicalRoleMixin,0.0,20
phaseMixin,0.0,20
abstract,0.0,20
historicalRole,0.0,20
