Stereotype,DistanceFromOrigin,Rank
kind,0.8355911316624164,1
role,0.765958537357215,2
relator,0.6963259430520137,3
category,0.6963259430520137,3
subkind,0.661509645899413,4
roleMixin,0.4874281601364096,5
mode,0.41779556583120814,6
event,0.41779556583120814,6
collective,0.3133466743734062,7
mixin,0.2785303772208054,8
phase,0.2785303772208054,8
none,0.2437140800682048,9
other,0.2437140800682048,9
datatype,0.20889778291560407,10
type,0.20889778291560407,10
quantity,0.17408148576300342,11
situation,0.1392651886104027,12
enumeration,0.10444889145780199,13
quality,0.06963259430520136,14
historicalRoleMixin,0.0,15
phaseMixin,0.0,15
abstract,0.0,15
historicalRole,0.0,15
