Stereotype,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.22511273232910425,0.04513460630994137,0.39636121657541656,0.30527884238719005,0.11287869841558316,0.3191422919052993,0.08385496524739504,0.30422463270703815,0.016481104423759056,0.07801019173852974
componentOf,0.22511273232910425,1.0,0.04597265461709249,0.010868518984041961,0.19132434443490393,0.20727933790063732,0.1352612498778134,0.26098845656077024,0.02318216632601379,0.11702768229469042,0.02775409652121333
derivation,0.04513460630994137,0.04597265461709249,1.0,0.09703507532923553,0.14816972552344643,0.44583031929913575,0.3700910756626684,0.1547183872839122,0.06029709808872625,0.04071478675174873,0.28483445761484355
externalDependence,0.39636121657541656,0.010868518984041961,0.09703507532923553,1.0,0.5465230138170531,0.24689674647970644,0.10253897414214304,0.13685227231524238,0.3696232487044784,0.016330952105462367,0.08509563364480037
instantiation,0.30527884238719005,0.19132434443490393,0.14816972552344643,0.5465230138170531,1.0,0.15006480169862024,0.033676821322002726,0.010616077605693598,0.5078154539566435,0.08475421458669587,0.10863451175694873
material,0.11287869841558316,0.20727933790063732,0.44583031929913575,0.24689674647970644,0.15006480169862024,1.0,0.29320612739261387,0.14160629174537204,0.064859123474462,0.15373270312199158,0.1437071461643758
mediation,0.3191422919052993,0.1352612498778134,0.3700910756626684,0.10253897414214304,0.033676821322002726,0.29320612739261387,1.0,0.28499653390318186,0.03373804538834942,0.17157758950031937,0.16139752977377295
memberOf,0.08385496524739504,0.26098845656077024,0.1547183872839122,0.13685227231524238,0.010616077605693598,0.14160629174537204,0.28499653390318186,1.0,0.1377933036560645,0.22492435200083238,0.19516442859162883
participation,0.30422463270703815,0.02318216632601379,0.06029709808872625,0.3696232487044784,0.5078154539566435,0.064859123474462,0.03373804538834942,0.1377933036560645,1.0,0.08423159419560697,0.08637144165722248
none,0.016481104423759056,0.11702768229469042,0.04071478675174873,0.016330952105462367,0.08475421458669587,0.15373270312199158,0.17157758950031937,0.22492435200083238,0.08423159419560697,1.0,0.01652476445780813
other,0.07801019173852974,0.02775409652121333,0.28483445761484355,0.08509563364480037,0.10863451175694873,0.1437071461643758,0.16139752977377295,0.19516442859162883,0.08637144165722248,0.01652476445780813,1.0
