year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,-0.06493506580591202,-0.41125541221526873,1660.541129412274,-1676200.9346390583
2016,none (occurrence),2015-2018,2.705627706600353,-0.41125541221526873,1660.541129412274,-1676200.9346390583
2017,none (occurrence),2015-2018,4.653679654467851,-0.41125541221526873,1660.541129412274,-1676200.9346390583
2018,none (occurrence),2015-2018,5.779220778495073,-0.41125541221526873,1660.541129412274,-1676200.9346390583
2015,none (model-wise),2015-2018,0.5257731958990917,0.15463917531405968,-623.1855672375095,627849.5981672497
2016,none (model-wise),2015-2018,0.6907216494437307,0.15463917531405968,-623.1855672375095,627849.5981672497
2017,none (model-wise),2015-2018,1.1649484536610544,0.15463917531405968,-623.1855672375095,627849.5981672497
2018,none (model-wise),2015-2018,1.9484536082018167,0.15463917531405968,-623.1855672375095,627849.5981672497
2019,none (occurrence),2019-2024,3.7146980008110404,-0.7050092765771296,2849.877551583207,-2880026.742271269
2020,none (occurrence),2019-2024,6.059781489428133,-0.7050092765771296,2849.877551583207,-2880026.742271269
2021,none (occurrence),2019-2024,6.994846425019205,-0.7050092765771296,2849.877551583207,-2880026.742271269
2022,none (occurrence),2019-2024,6.519892806187272,-0.7050092765771296,2849.877551583207,-2880026.742271269
2023,none (occurrence),2019-2024,4.634920635260642,-0.7050092765771296,2849.877551583207,-2880026.742271269
2024,none (occurrence),2019-2024,1.339929910376668,-0.7050092765771296,2849.877551583207,-2880026.742271269
2019,none (model-wise),2019-2024,1.5095728999003768,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2020,none (model-wise),2019-2024,2.5787923408206552,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2021,none (model-wise),2019-2024,3.0220913109369576,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2022,none (model-wise),2019-2024,2.8394698088523,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2023,none (model-wise),2019-2024,2.030927835498005,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2024,none (model-wise),2019-2024,0.5964653908740729,-0.31296023575941945,1265.1156116734946,-1278528.010795383
2015,other (occurrence),2015-2018,0.3102453099563718,-0.3102453104820597,1251.1183270729996,-1261337.353054763
2016,other (occurrence),2015-2018,0.8297258301172405,-0.3102453104820597,1251.1183270729996,-1261337.353054763
2017,other (occurrence),2015-2018,0.7287157287355512,-0.3102453104820597,1251.1183270729996,-1261337.353054763
2018,other (occurrence),2015-2018,0.007215006975457072,-0.3102453104820597,1251.1183270729996,-1261337.353054763
2015,other (model-wise),2015-2018,0.21649484543013386,-0.05154639179019682,207.94845375989252,-209725.9692249861
2016,other (model-wise),2015-2018,0.3814432990329806,-0.05154639179019682,207.94845375989252,-209725.9692249861
2017,other (model-wise),2015-2018,0.4432989690685645,-0.05154639179019682,207.94845375989252,-209725.9692249861
2018,other (model-wise),2015-2018,0.40206185550778173,-0.05154639179019682,207.94845375989252,-209725.9692249861
2019,other (occurrence),2019-2024,1.9666048247599974,0.19789734079654409,-800.3850754125183,809278.4318359578
2020,other (occurrence),2019-2024,0.8888888892251998,0.19789734079654409,-800.3850754125183,809278.4318359578
2021,other (occurrence),2019-2024,0.20696763566229492,0.19789734079654409,-800.3850754125183,809278.4318359578
2022,other (occurrence),2019-2024,-0.07915893639437854,0.19789734079654409,-800.3850754125183,809278.4318359578
2023,other (occurrence),2019-2024,0.030509172938764095,0.19789734079654409,-800.3850754125183,809278.4318359578
2024,other (occurrence),2019-2024,0.5359719641273841,0.19789734079654409,-800.3850754125183,809278.4318359578
2019,other (model-wise),2019-2024,1.1192930780598545,0.014727540517505133,-59.73784984686181,60577.06634241432
2020,other (model-wise),2019-2024,0.8659793814003933,0.014727540517505133,-59.73784984686181,60577.06634241432
2021,other (model-wise),2019-2024,0.6421207657767809,0.014727540517505133,-59.73784984686181,60577.06634241432
2022,other (model-wise),2019-2024,0.4477172311890172,0.014727540517505133,-59.73784984686181,60577.06634241432
2023,other (model-wise),2019-2024,0.2827687776371022,0.014727540517505133,-59.73784984686181,60577.06634241432
2024,other (model-wise),2019-2024,0.14727540512103587,0.014727540517505133,-59.73784984686181,60577.06634241432
