Group,DistanceFromOrigin,Rank
sortal,8239.577129886733,1
rigid,6408.754649192105,2
rigid_sortal,5826.788706402129,3
non_rigid,2890.302963937414,4
non_rigid_sortal,2201.2570065733935,5
non_sortal,1273.4226307218942,6
non_rigid_non_sortal,691.0272231346428,7
temporal,586.6375241971148,8
rigid_non_sortal,586.3237736233114,9
abstracts,154.144010362407,10
