Group,DistanceFromOrigin,Rank
sortal,8239.28136258866,1
rigid,6408.218833774503,2
rigid_sortal,5826.198958422324,3
non_rigid,2889.09865960901,4
non_rigid_sortal,2200.0751301972386,5
non_sortal,1271.04340476395,6
non_rigid_non_sortal,689.0235294117715,7
temporal,585.0199778024476,8
rigid_non_sortal,582.0198753521786,9
abstracts,152.0051908136274,10
