Group,DistanceFromOrigin,Rank
sortal,118.9396958686615,1
rigid,111.6994856016318,2
rigid_sortal,107.27969135285524,3
non_rigid,90.00160165230122,4
non_sortal,79.21195129905969,5
non_rigid_sortal,76.57014758281302,6
rigid_non_sortal,71.23694842457509,7
non_rigid_non_sortal,53.198187903628515,8
temporal,44.067666424451325,9
abstracts,25.65061334340971,10
