Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none_r,other_r
role,-0.04520954274793883,0.15455443124359694,-0.07802315633976727,-0.23607327746252754,0.4592012416253083,0.18559252414966212,-0.03012541536005306,0.21140066406866403,0.04700854700854701,0.21814922148974095,1.0,0.018845159300283788,-0.22777264327458532,0.07292317208505725,-0.15097027121927944,-0.037357960483100604,-0.11996119056330666,-0.13908659559237238,-0.006576784308238167,0.21900691746433096,-0.12106933204457754,-0.2555521772689783,0.20273958938337894,0.21285988182349397,0.03806693370693999,-0.31819291047923837,-0.13970266506622725,0.024140227479263376
roleMixin,0.20488261174506836,-0.10160731599013641,-0.1124733226255107,0.24900017072080058,-0.16643594042796062,0.12115236220091141,0.20992467565814826,-0.0614788115432846,0.07668030335977541,0.12401395900670428,0.018845159300283788,1.0,0.12115236220091141,-0.02068481375357841,0.2467843254621485,0.0908909857359617,-0.10376671769423729,0.121706556355509,-0.04280308193285274,-0.10160731599013641,0.30822663237388653,0.2502172968684897,-0.14610157473530716,0.13698834862950762,-0.1033191524827317,0.1909514351684359,0.036711754558183256,-0.028754487950833837
situation,0.20586399429140276,-0.2850438562747845,0.15710041851623346,0.5800502851764952,-0.2483498169496957,-0.027549342105263157,0.0063203195139548045,-0.06781306399659885,0.2737021063217239,-0.14878565103840044,-0.22777264327458532,0.12115236220091141,1.0,-0.1221135509949451,0.13245323570650439,0.060679660561060694,0.2411203613089755,0.2229768553194517,-0.11540237096145121,0.011828743023548749,0.1428333786884241,0.20506811215303458,-0.001933400702780456,-0.19096884523751373,-0.13485185857718843,0.48816628540688767,0.21627833763367849,-0.05206588623245218
subkind,0.17531205971310312,0.14287283221764732,0.013825961417013541,-0.04769011829261389,0.3529834711129817,-0.07689770213787474,0.05630598609358342,0.293963983572295,0.09886699292301031,0.16189195643280152,0.07292317208505725,-0.02068481375357841,-0.1221135509949451,1.0,-0.04954153980533076,-0.1235857312622257,0.0351710634535238,-0.01804928133731601,0.2697749853052253,-0.01575485914182516,-0.10714903860094911,-0.04090758014567582,0.13739862978396283,0.18972400327329053,0.05538828956633389,-0.1356854351200465,-0.05986428727201489,-0.05215131564329151
type,0.19120444499264716,-0.01742537588393307,0.0826898230594723,0.31936984067746604,-0.2777777777777778,0.07450494508490872,0.2197890793355209,-0.011669000700233415,0.28306925853614895,-0.1225425852746065,-0.15097027121927944,0.2467843254621485,0.13245323570650439,-0.04954153980533076,1.0,0.10700645625096326,-0.08684168428648437,0.25684299723290976,0.06389304490775459,-0.18006221746730838,0.5184268552066676,0.8257228238447705,-0.19462473604038075,-0.1152213674570909,-0.0190300786083424,0.3982374219781159,0.19166144159279414,0.08883363181483768
none_c,0.03309723689103669,-0.16719495242220048,0.03981755220125992,0.14701541044579858,-0.10700645625096326,0.12578849342584844,0.10150240743122023,-0.07117352953655323,0.18578012780785164,-0.2476871249234899,-0.037357960483100604,0.0908909857359617,0.060679660561060694,-0.1235857312622257,0.10700645625096326,1.0,0.1468234100677141,0.07976293846508144,-0.07582819403534742,-0.12151157322877394,-0.01126836355957746,0.02650730196755018,-0.027073934293198355,-0.10544907421556161,-0.15645888788996798,0.08201180146763322,0.18874699797757455,-0.1036129162868538
other_c,0.13654772607424148,-0.1340738606102049,0.028005601680560196,0.22135362437762046,-0.03473667371459374,-0.1393235719191397,-0.05002764847874547,0.004560100536367958,-0.07276334509577617,-0.17807286200125386,-0.11996119056330666,-0.10376671769423729,0.2411203613089755,0.0351710634535238,-0.08684168428648437,0.1468234100677141,1.0,-0.02705654476110273,-0.08958434027228138,-0.045094819934357856,-0.08145998276343774,-0.12190217332000222,-0.13183201107616097,-0.27458618867685425,-0.11634332712306657,-0.10218477521657099,0.24404561770017416,0.020366180229346845
characterization,0.32781548424909107,-0.009924124968126571,0.08587661241559162,0.23134696031858548,-0.10050378152592121,0.10067238617034946,0.5754930861896671,0.03166502481905618,0.5418055110121051,0.13137059432597994,-0.13908659559237238,0.121706556355509,0.2229768553194517,-0.01804928133731601,0.25684299723290976,0.07976293846508144,-0.02705654476110273,1.0,0.16170485977476826,-0.06713378654909151,0.35984227893194837,0.283082197229101,-0.06650577463184454,0.1718742971605868,0.09180455341794966,0.30433622343652206,0.19623875271275013,0.04225974870727683
componentOf,0.08447116581971875,0.2560728744939271,0.08429272304235245,-0.15183380652124484,0.18006221746730838,0.011828743023548749,0.037089628808385636,0.17812296969090624,-0.025649458802128853,0.03369108740536105,-0.006576784308238167,-0.04280308193285274,-0.11540237096145121,0.2697749853052253,0.06389304490775459,-0.07582819403534742,-0.08958434027228138,0.16170485977476826,1.0,-0.10101214574898786,-0.044604302675238794,0.12661906911665244,0.09224632974536501,0.07967699110008628,0.21311229801901233,-0.057348552921311455,-0.14507137501478692,0.12197920273006682
derivation,-0.059580590276553366,0.07753036437246963,0.08429272304235245,-0.09009225864123656,0.3020398486548399,-0.030581628304784572,-0.08143592412275975,0.11834197301382127,-0.0901019450228629,0.3475876271046052,0.21900691746433096,-0.10160731599013641,0.011828743023548749,-0.01575485914182516,-0.18006221746730838,-0.12151157322877394,-0.045094819934357856,-0.06713378654909151,-0.10101214574898786,1.0,-0.12760218233675907,-0.155396130279528,0.5765395609085313,0.4214215391341433,0.1156200538007712,-0.09584278707397256,-0.08370305234666123,0.18265921220999853
externalDependence,0.1782072751809829,-0.08610324250599893,-0.004018933586842313,0.3821970323810846,-0.2916151060537505,-0.034601888921702746,0.32187464453275133,-0.12250284756263483,0.2558965427305844,0.010588227852134856,-0.12106933204457754,0.30822663237388653,0.1428333786884241,-0.10714903860094911,0.5184268552066676,-0.01126836355957746,-0.08145998276343774,0.35984227893194837,-0.044604302675238794,-0.12760218233675907,1.0,0.5872679791311741,-0.2591835095543513,-0.0005894787945729424,0.03761299576517352,0.4152268510278213,0.1394373281474075,0.01986067553816485
instantiation,0.19688798436007146,-0.06139106381413452,0.05234713688658378,0.3612342675860519,-0.24771684715343115,0.07109027887971865,0.1681122906636509,-0.0568486252368957,0.3064548467249943,-0.10118620955418667,-0.2555521772689783,0.2502172968684897,0.20506811215303458,-0.04090758014567582,0.8257228238447705,0.02650730196755018,-0.12190217332000222,0.283082197229101,0.12661906911665244,-0.155396130279528,0.5872679791311741,1.0,-0.18641906049463525,-0.07410976373568898,-0.045045568039876215,0.5199295558440178,0.1790307502882702,0.05281340926646477
material,-0.013134040459920513,0.12073416687261009,0.05793654595023211,-0.1308821025854322,0.35032452487268534,0.07926942881399869,-0.09185667238155525,0.10628636527725589,-0.07933288280219176,0.2925577713033873,0.20273958938337894,-0.14610157473530716,-0.001933400702780456,0.13739862978396283,-0.19462473604038075,-0.027073934293198355,-0.13183201107616097,-0.06650577463184454,0.09224632974536501,0.5765395609085313,-0.2591835095543513,-0.18641906049463525,1.0,0.3852366617616672,0.12148214805202381,-0.1263507945427984,-0.17904987589975876,0.09128709291752768
mediation,-0.04685815926359689,0.23501542202465764,-0.03760908350406823,-0.21048441257228073,0.24257129990966503,0.07470074703297067,0.05766386532007986,0.16431427900656495,0.022659277742500972,0.7545275588871418,0.21285988182349397,0.13698834862950762,-0.19096884523751373,0.18972400327329053,-0.1152213674570909,-0.10544907421556161,-0.27458618867685425,0.1718742971605868,0.07967699110008628,0.4214215391341433,-0.0005894787945729424,-0.07410976373568898,0.3852366617616672,1.0,0.21626666991839877,-0.03280787630555277,-0.21683956502144902,0.13834130287903965
memberOf,-0.09353433913372829,0.6680761043708041,0.047994611904416305,-0.0550427155311031,0.10783711211394026,-0.042219974414353385,0.13912659920160134,0.18986301051833895,-0.21403672159751166,0.11478597761953907,0.03806693370693999,-0.1033191524827317,-0.13485185857718843,0.05538828956633389,-0.0190300786083424,-0.15645888788996798,-0.11634332712306657,0.09180455341794966,0.21311229801901233,0.1156200538007712,0.03761299576517352,-0.045045568039876215,0.12148214805202381,0.21626666991839877,1.0,0.033459745851629384,-0.17119665981712642,0.25154803627933503
participation,0.15364171277994917,-0.057348552921311455,0.09599458703151435,0.6251037429176369,-0.2930426312669155,-0.005598237217968895,0.1282936214779321,-0.0899595397655802,0.27650453450735957,-0.04235562243670689,-0.31819291047923837,0.1909514351684359,0.48816628540688767,-0.1356854351200465,0.3982374219781159,0.08201180146763322,-0.10218477521657099,0.30433622343652206,-0.057348552921311455,-0.09584278707397256,0.4152268510278213,0.5199295558440178,-0.1263507945427984,-0.03280787630555277,0.033459745851629384,1.0,0.21871936662008526,0.006407887067573271
none_r,0.28515573037481173,-0.29849218168510117,0.19612457732131522,0.3845891395059033,-0.19166144159279414,0.041351704169300285,0.1706481925710539,0.029563701277286487,0.17293291064023278,-0.13309123511802093,-0.13970266506622725,0.036711754558183256,0.21627833763367849,-0.05986428727201489,0.19166144159279414,0.18874699797757455,0.24404561770017416,0.19623875271275013,-0.14507137501478692,-0.08370305234666123,0.1394373281474075,0.1790307502882702,-0.17904987589975876,-0.21683956502144902,-0.17119665981712642,0.21871936662008526,1.0,-0.09321725109716521
other_r,-0.1690545404304738,0.2736792264298961,0.007345637296499237,0.00963536020964334,0.11844484241978358,0.0344164332722989,-0.03946036982018791,0.07152538011776166,-0.15557035486636397,0.039914977307050056,0.024140227479263376,-0.028754487950833837,-0.05206588623245218,-0.05215131564329151,0.08883363181483768,-0.1036129162868538,0.020366180229346845,0.04225974870727683,0.12197920273006682,0.18265921220999853,0.01986067553816485,0.05281340926646477,0.09128709291752768,0.13834130287903965,0.25154803627933503,0.006407887067573271,-0.09321725109716521,1.0
