Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,characterization,componentOf,derivation,material,mediation,participation,none_r,other_r
category,1.0,0.03708115839879692,0.09830118898588996,0.18746232030647567,0.07813377664353553,0.29646003254813436,0.0488120148031569,0.28251658723916273,0.09558706143745721,0.09742706561638209,0.22517530403295496,0.17634631280917717,0.05364796316056301,0.3643944965578361,0.08449112455593336,0.07646321565241244,0.030329290048819364,0.05817212243662726,0.18620733816321983,0.2908565017729886,0.15224287955431268
collective,0.03708115839879692,1.0,0.04201146466976073,0.19003197812612752,0.18920135460739554,0.01883398584652858,0.2253306349455477,0.1583639925353684,0.1963130244916734,0.15822451635104332,0.10724509012049392,0.14880347580029638,0.17520012495530182,0.027411950337796323,0.2654071549521094,0.0874238960316416,0.11338143644196662,0.2584533222381732,0.057503378303989064,0.33324830151417884,0.2703722753337892
datatype,0.09830118898588996,0.04201146466976073,1.0,0.05432498911703657,0.09396777677756946,0.003015365106461853,0.12011646257043485,0.17961982680090294,0.0843287003967142,0.09872844493416108,0.10266357829246694,0.029903023016768657,0.03726103017268046,0.054429070785988236,0.09317801323021808,0.09121664779283623,0.07995765606398761,0.0331216219413238,0.0925378004027922,0.08856187247822253,0.004693005950959395
event,0.18746232030647567,0.19003197812612752,0.05432498911703657,1.0,0.3104473696409234,0.2348671479512513,0.05154019875694543,0.2110177557896967,0.21067281114754718,0.24336169899738158,0.27195117520032536,0.05750786238949961,0.1712110642392387,0.25559736556071794,0.15265674415074312,0.10699227811972689,0.12008540509316763,0.21169725579147056,0.6378701118816795,0.380902364844504,0.02207090988977673
kind,0.07813377664353553,0.18920135460739554,0.09396777677756946,0.3104473696409234,1.0,0.03667589792506489,0.23229161443583107,0.03152358777932224,0.20470784133365763,0.33436644598545273,0.20954007731234553,0.42263000460773964,0.11827814327633517,0.07622087902042965,0.2965208882215723,0.13747891878982982,0.2785159348547167,0.21955438304589622,0.2660934082222411,0.08338201581803259,0.08701487632267817
mode,0.29646003254813436,0.01883398584652858,0.003015365106461853,0.2348671479512513,0.03667589792506489,1.0,0.024246383291598762,0.21306519809638652,0.02632939847700616,0.046573802204618375,0.18531678926168613,0.00508130571050531,0.09785273421601477,0.5815002331109934,0.05099898671279365,0.0951096596030765,0.08194959593343074,0.045936786173845154,0.13368216230570126,0.17034264846003422,0.02712364622732161
phase,0.0488120148031569,0.2253306349455477,0.12011646257043485,0.05154019875694543,0.23229161443583107,0.024246383291598762,1.0,0.08110630947234267,0.13429034457763256,0.2580394154394036,0.06651471323280242,0.2908216465141094,0.07295533230776631,0.013364846959941527,0.16486733635242415,0.11927574940592109,0.11824679557318855,0.2165396432559395,0.09740648530797495,0.050050729492674875,0.06106786431270343
quality,0.28251658723916273,0.1583639925353684,0.17961982680090294,0.2110177557896967,0.03152358777932224,0.21306519809638652,0.08110630947234267,1.0,0.07432661330197875,0.059720360148604004,0.0838332376037632,0.1551490048649039,0.17801395185032567,0.5864657927878173,0.009369159221569069,0.1141089482478071,0.06141858959719078,0.02797222510967324,0.2891732887910293,0.153163942265192,0.14626799779352123
relator,0.09558706143745721,0.1963130244916734,0.0843287003967142,0.21067281114754718,0.20470784133365763,0.02632939847700616,0.13429034457763256,0.07432661330197875,1.0,0.3272130211232261,0.12093547922079739,0.17812053159190094,0.2535579404262922,0.04827004561488447,0.07053103699719913,0.3300920545754317,0.2920869849295811,0.7651651888845008,0.06979245419132245,0.16964583760298166,0.07132790956726821
role,0.09742706561638209,0.15822451635104332,0.09872844493416108,0.24336169899738158,0.33436644598545273,0.046573802204618375,0.2580394154394036,0.059720360148604004,0.3272130211232261,1.0,0.01255710527674652,0.07795192206139889,0.04909233047202309,0.1337628051244912,0.011778998166387491,0.24659468563319573,0.1956220850127242,0.3353519751345184,0.3309597789435937,0.14331611578749415,0.02290965243578247
roleMixin,0.22517530403295496,0.10724509012049392,0.10266357829246694,0.27195117520032536,0.20954007731234553,0.18531678926168613,0.06651471323280242,0.0838332376037632,0.12093547922079739,0.01255710527674652,1.0,0.045400384164869176,0.08180054284213475,0.15421093774622818,0.06749926806306045,0.0914169159371076,0.12986680934388697,0.1402557329341687,0.21838413290150774,0.07042441724148672,0.017970271852947913
subkind,0.17634631280917717,0.14880347580029638,0.029903023016768657,0.05750786238949961,0.42263000460773964,0.00508130571050531,0.2908216465141094,0.1551490048649039,0.17812053159190094,0.07795192206139889,0.045400384164869176,1.0,0.126525061309033,0.030297241032434842,0.30810436552062453,0.03311131267932608,0.15980235473453136,0.21114180631211676,0.09612672264037037,0.08542620272580047,0.07091038162077377
none_c,0.05364796316056301,0.17520012495530182,0.03726103017268046,0.1712110642392387,0.11827814327633517,0.09785273421601477,0.07295533230776631,0.17801395185032567,0.2535579404262922,0.04909233047202309,0.08180054284213475,0.126525061309033,1.0,0.07321488972429965,0.08843665018760484,0.11005464448672495,0.004208086474166407,0.12669745351391423,0.0822701818151548,0.22089594911436866,0.11050362369327751
characterization,0.3643944965578361,0.027411950337796323,0.054429070785988236,0.25559736556071794,0.07622087902042965,0.5815002331109934,0.013364846959941527,0.5864657927878173,0.04827004561488447,0.1337628051244912,0.15421093774622818,0.030297241032434842,0.07321488972429965,1.0,0.1452886996292385,0.08862686096693209,0.05859616493076754,0.11425176856221624,0.326463557138402,0.170232548411643,0.031872933656823595
componentOf,0.08449112455593336,0.2654071549521094,0.09317801323021808,0.15265674415074312,0.2965208882215723,0.05099898671279365,0.16486733635242415,0.009369159221569069,0.07053103699719913,0.011778998166387491,0.06749926806306045,0.30810436552062453,0.08843665018760484,0.1452886996292385,1.0,0.07709525352653983,0.10593729766299066,0.10673906536993454,0.06390347059254677,0.17705693707551784,0.1026640901995518
derivation,0.07646321565241244,0.0874238960316416,0.09121664779283623,0.10699227811972689,0.13747891878982982,0.0951096596030765,0.11927574940592109,0.1141089482478071,0.3300920545754317,0.24659468563319573,0.0914169159371076,0.03311131267932608,0.11005464448672495,0.08862686096693209,0.07709525352653983,1.0,0.5591385823766516,0.4000743078209776,0.10883680364465907,0.08761736708517533,0.17824539951732715
material,0.030329290048819364,0.11338143644196662,0.07995765606398761,0.12008540509316763,0.2785159348547167,0.08194959593343074,0.11824679557318855,0.06141858959719078,0.2920869849295811,0.1956220850127242,0.12986680934388697,0.15980235473453136,0.004208086474166407,0.05859616493076754,0.10593729766299066,0.5591385823766516,1.0,0.3650621991643878,0.11747458146736217,0.20899524156605745,0.05336874172355043
mediation,0.05817212243662726,0.2584533222381732,0.0331216219413238,0.21169725579147056,0.21955438304589622,0.045936786173845154,0.2165396432559395,0.02797222510967324,0.7651651888845008,0.3353519751345184,0.1402557329341687,0.21114180631211676,0.12669745351391423,0.11425176856221624,0.10673906536993454,0.4000743078209776,0.3650621991643878,1.0,0.055546031431834265,0.2859581336975725,0.14250358867612234
participation,0.18620733816321983,0.057503378303989064,0.0925378004027922,0.6378701118816795,0.2660934082222411,0.13368216230570126,0.09740648530797495,0.2891732887910293,0.06979245419132245,0.3309597789435937,0.21838413290150774,0.09612672264037037,0.0822701818151548,0.326463557138402,0.06390347059254677,0.10883680364465907,0.11747458146736217,0.055546031431834265,1.0,0.16423681152874217,0.012496241548596104
none_r,0.2908565017729886,0.33324830151417884,0.08856187247822253,0.380902364844504,0.08338201581803259,0.17034264846003422,0.050050729492674875,0.153163942265192,0.16964583760298166,0.14331611578749415,0.07042441724148672,0.08542620272580047,0.22089594911436866,0.170232548411643,0.17705693707551784,0.08761736708517533,0.20899524156605745,0.2859581336975725,0.16423681152874217,1.0,0.1281571106132349
other_r,0.15224287955431268,0.2703722753337892,0.004693005950959395,0.02207090988977673,0.08701487632267817,0.02712364622732161,0.06106786431270343,0.14626799779352123,0.07132790956726821,0.02290965243578247,0.017970271852947913,0.07091038162077377,0.11050362369327751,0.031872933656823595,0.1026640901995518,0.17824539951732715,0.05336874172355043,0.14250358867612234,0.012496241548596104,0.1281571106132349,1.0
