stereotype,total_correlation,rank
category,3.545503407699419,12
collective,3.7029150676958555,10
datatype,1.728654000352458,21
event,5.009429819452639,1
kind,4.441214168084613,3
mode,2.906438040197319,16
phase,2.8065405876312135,18
quality,3.8788373222798187,8
relator,4.22511866262065,5
role,3.8629066680100324,9
roleMixin,3.062119618269304,14
subkind,3.0564133122127837,15
none_c,2.5702063572587504,19
characterization,4.041090536393445,7
componentOf,2.8693541250795604,17
derivation,3.529082328686168,13
material,3.6283579767792875,11
mediation,4.678642655219389,2
participation,4.345926311341989,4
none_r,4.164410678678385,6
other_r,2.0116488650185445,20
