Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,2,3,0.06451612903225806
comparative,0,8,0.0
componentOf,2,3,0.06451612903225806
creation,0,8,0.0
derivation,1,6,0.03225806451612903
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,2,3,0.06451612903225806
mediation,6,2,0.1935483870967742
memberOf,0,8,0.0
participation,0,8,0.0
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,17,1,0.5483870967741935
other,1,6,0.03225806451612903
