stereotype,total_correlation,rank
category,3.2491470153012765,11
collective,3.2697406317584248,9
datatype,1.4395310385821825,21
event,4.248059782371276,3
kind,3.7399332523881785,6
mode,2.400669838045793,18
phase,2.5675251607643514,17
quality,3.258370849130162,10
relator,4.3005086248758575,2
role,3.7585484668283904,5
roleMixin,2.681196343102033,16
subkind,3.192117039887594,12
none_c,2.3842729336537176,19
characterization,3.4403443765416,8
componentOf,2.8884823177962495,15
derivation,3.1906748525155653,13
material,3.0988682892586663,14
mediation,4.551472538278672,1
participation,3.5678384924275486,7
none_r,3.7675085808494853,4
other_r,1.7676366469066362,20
