model_id,count
abel2015petroleum-system,29
abrahao2018agriculture-operations,22
aguiar2018rdbs-o,43
albuquerque2011ontobio,147
andersson2018value-ascription,13
barcelos2013normative-acts,45
barcelos2015transport-networks,487
brazilian-governmental-organizational-structures,15
carolla2014campus-management,17
castro2012cloudvulnerability,32
cmpo2017,55
dpo2017,40
ferreira2015ontoemergeplan,147
franco2018rpg,23
gailly2016value,12
grueau2013towards,13
guarino2016value,18
guarino2018rea,11
guizzardi2005ontological,43
junior2018o4c,11
kostov2017towards,58
laurier2018rea,23
martinez2013human-genome,10
mgic-antt2011,3760
nardi2015ufo-s,27
o3ontology2015,303
oliveira2007collaboration,20
pereira2015doacao-orgaos,25
quality-assurance-process-ontology2017,37
ramirez2015userfeedback,50
rodrigues2017urinary-profiles,63
sales2018competition,27
sales2018cover,63
services2015,124
silva2012itarchitecture,84
spmo2017,34
spo2017,109
zhou2017hazard-ontology-robotic-strolling,13
zhou2017hazard-ontology-train-control,25
