model_id,count
abel2015petroleum-system,21
abrahao2018agriculture-operations,53
aguiar2018rdbs-o,31
albuquerque2011ontobio,43
andersson2018value-ascription,17
barcelos2013normative-acts,18
barcelos2015transport-networks,348
brazilian-governmental-organizational-structures,7
carolla2014campus-management,23
castro2012cloudvulnerability,27
cmpo2017,66
dpo2017,51
ferreira2015ontoemergeplan,121
franco2018rpg,24
gailly2016value,15
grueau2013towards,3
guarino2016value,37
guarino2018rea,12
guizzardi2005ontological,25
junior2018o4c,5
kostov2017towards,35
laurier2018rea,18
martinez2013human-genome,15
mgic-antt2011,1782
nardi2015ufo-s,48
o3ontology2015,220
oliveira2007collaboration,20
pereira2015doacao-orgaos,9
quality-assurance-process-ontology2017,28
ramirez2015userfeedback,36
rodrigues2017urinary-profiles,62
sales2018competition,31
sales2018cover,58
services2015,91
silva2012itarchitecture,33
spmo2017,27
spo2017,89
zhou2017hazard-ontology-robotic-strolling,14
zhou2017hazard-ontology-train-control,30
