Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind
category,1.0,0.03654435019808827,0.11798626471077009,0.11133318293158305,0.07817336663283586,0.23551185768365623,0.065322047723084,0.18224078155812617,0.02918780994615664,0.12206718593880915
collective,0.03654435019808827,1.0,0.1145408263217949,0.16252146859566297,0.049501840348938946,0.019162487161055206,0.1391554184091373,0.09306418175086591,0.04350352311107422,0.10133772323876095
datatype,0.11798626471077009,0.1145408263217949,1.0,0.028119564123163257,0.05764593778663306,0.3584949586619557,0.04768693414190498,0.09242383173929135,0.16705271195968435,0.11115875758236987
kind,0.11133318293158305,0.16252146859566297,0.028119564123163257,1.0,0.03601478822615001,0.1261891471563994,0.0442531514136554,0.05109941240889621,0.08589018006268047,0.3348093093724249
mode,0.07817336663283586,0.049501840348938946,0.05764593778663306,0.03601478822615001,1.0,0.054122348840977184,0.3469847298375987,0.2503489227973493,0.052089441818677806,0.32675985438808497
phase,0.23551185768365623,0.019162487161055206,0.3584949586619557,0.1261891471563994,0.054122348840977184,1.0,0.14095189274529787,0.12202022099191981,0.2584700933347078,0.24627051354509708
relator,0.065322047723084,0.1391554184091373,0.04768693414190498,0.0442531514136554,0.3469847298375987,0.14095189274529787,1.0,0.556378168963377,0.22185103936842854,0.17560016973383863
role,0.18224078155812617,0.09306418175086591,0.09242383173929135,0.05109941240889621,0.2503489227973493,0.12202022099191981,0.556378168963377,1.0,0.1357350890823833,0.10397893527191898
roleMixin,0.02918780994615664,0.04350352311107422,0.16705271195968435,0.08589018006268047,0.052089441818677806,0.2584700933347078,0.22185103936842854,0.1357350890823833,1.0,0.03695621961370502
subkind,0.12206718593880915,0.10133772323876095,0.11115875758236987,0.3348093093724249,0.32675985438808497,0.24627051354509708,0.17560016973383863,0.10397893527191898,0.03695621961370502,1.0
