Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,43,1,43,16.47509578544061
role,40,2,83,31.800766283524908
relator,40,3,123,47.12643678160919
subkind,34,4,157,60.15325670498084
collective,27,5,184,70.49808429118774
phase,20,6,204,78.16091954022988
category,16,7,220,84.2911877394636
roleMixin,13,8,233,89.272030651341
datatype,9,9,242,92.72030651340997
mode,8,10,250,95.78544061302682
mixin,3,11,253,96.93486590038314
quality,3,12,256,98.08429118773945
type,2,13,258,98.85057471264368
enumeration,1,14,259,99.23371647509579
abstract,1,15,260,99.61685823754789
quantity,1,16,261,100.0
historicalRoleMixin,0,17,261,100.0
phaseMixin,0,18,261,100.0
event,0,19,261,100.0
historicalRole,0,20,261,100.0
situation,0,21,261,100.0
