stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
characterization,1.73357700330565,4
componentOf,1.2066175023146082,7
derivation,2.069972492437903,2
material,2.5536632233206875,1
mediation,1.830066397739071,3
memberOf,1.41811060710753,5
subCollectionOf,1.049420336103807,8
none,0.6000376498407762,9
other,1.31730036486283,6
