Stereotype,characterization,creation,derivation,formal,instantiation,manifestation,material,mediation,participation,triggers,none,other
characterization,1.0,0.10604746049596296,0.018663083698528475,0.020286020648339485,0.25177159820880923,0.23328923745590407,0.2771739468734333,0.2849939866903206,0.26352313834736496,0.25819888974716115,-0.04383972994809528,0.4896907274464246
creation,0.10604746049596296,1.0,0.026362579448283952,-0.05808458627977691,0.3650837943258458,0.34850751767866145,0.004809860702438818,0.128386830539707,0.704238182012342,-0.0032857603872676277,0.1987486842749896,0.24833610099919629
derivation,0.018663083698528475,0.026362579448283952,1.0,0.06133315160574595,-0.17880301466499043,-0.2248882225544018,0.5036543572716771,0.4461465326877547,-0.035410711589825554,0.15323744218894494,0.11229582939721525,0.10557751658701287
formal,0.020286020648339485,-0.05808458627977691,0.06133315160574595,1.0,0.21773839528119807,0.3194444444444444,0.13801311186847084,0.062439054105446264,0.0,0.07856742013183862,0.04502251688907481,0.1100881057409974
instantiation,0.25177159820880923,0.3650837943258458,-0.17880301466499043,0.21773839528119807,1.0,0.7257946509373269,-0.1252114729416888,-0.03398844860948943,0.39808585024030335,0.11290715027387556,0.09367435886550109,0.3951485354870861
manifestation,0.23328923745590407,0.34850751767866145,-0.2248882225544018,0.3194444444444444,0.7257946509373269,1.0,-0.13801311186847084,-0.08325207214059502,0.4330127018922193,0.18856180831641267,0.04502251688907481,0.32025630761017426
material,0.2771739468734333,0.004809860702438818,0.5036543572716771,0.13801311186847084,-0.1252114729416888,-0.13801311186847084,1.0,0.4265617038812147,0.017074694419062765,0.09759000729485333,-0.136701348520264,0.21547290184283366
mediation,0.2849939866903206,0.128386830539707,0.4461465326877547,0.062439054105446264,-0.03398844860948943,-0.08325207214059502,0.4265617038812147,1.0,0.05407380704358751,-0.09124556237559191,-0.09557955451201056,0.14247506904418505
participation,0.26352313834736496,0.704238182012342,-0.035410711589825554,0.0,0.39808585024030335,0.4330127018922193,0.017074694419062765,0.05407380704358751,1.0,0.3265986323710904,0.18195633571851272,0.3986907660368834
triggers,0.25819888974716115,-0.0032857603872676277,0.15323744218894494,0.07856742013183862,0.11290715027387556,0.18856180831641267,0.09759000729485333,-0.09124556237559191,0.3265986323710904,1.0,0.12734290799340267,0.1924870958045813
none,-0.04383972994809528,0.1987486842749896,0.11229582939721525,0.04502251688907481,0.09367435886550109,0.04502251688907481,-0.136701348520264,-0.09557955451201056,0.18195633571851272,0.12734290799340267,1.0,0.01441874501821181
other,0.4896907274464246,0.24833610099919629,0.10557751658701287,0.1100881057409974,0.3951485354870861,0.32025630761017426,0.21547290184283366,0.14247506904418505,0.3986907660368834,0.1924870958045813,0.01441874501821181,1.0
