Stereotype,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf,none,other
characterization,1.0,0.11750889240855956,0.1697608096292603,0.37532402758455685,0.24588141669184102,0.14038972908721783,0.17881981884345174,0.2207466569406011,0.157080759788332
componentOf,0.11750889240855956,1.0,0.1846095765957674,0.1730401402991455,0.18546867187549387,0.16884143801074042,0.07213931682280691,0.015834861727612483,0.3277139210890741
derivation,0.1697608096292603,0.1846095765957674,1.0,0.7276950979430787,0.39276358009183515,0.09223883340766974,0.16520547236779512,0.056843604943152465,0.1534530893575651
material,0.37532402758455685,0.1730401402991455,0.7276950979430787,1.0,0.4777676663543087,0.11595872658082317,0.20783702054889552,0.03559991276390067,0.2878002734401155
mediation,0.24588141669184102,0.18546867187549387,0.39276358009183515,0.4777676663543087,1.0,0.02496675846567488,0.048119413647360776,0.04468142808990673,0.10757512593003267
memberOf,0.14038972908721783,0.16884143801074042,0.09223883340766974,0.11595872658082317,0.02496675846567488,1.0,0.10703845905925712,0.0038359190900041254,0.19196138407492097
subCollectionOf,0.17881981884345174,0.07213931682280691,0.16520547236779512,0.20783702054889552,0.048119413647360776,0.10703845905925712,1.0,0.20348744471398814,0.06289550023503288
none,0.2207466569406011,0.015834861727612483,0.056843604943152465,0.03559991276390067,0.04468142808990673,0.0038359190900041254,0.20348744471398814,1.0,0.02591825221263974
other,0.157080759788332,0.3277139210890741,0.1534530893575651,0.2878002734401155,0.10757512593003267,0.19196138407492097,0.06289550023503288,0.02591825221263974,1.0
