Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,0,8,0.0
comparative,0,8,0.0
componentOf,2,2,0.09090909090909091
creation,0,8,0.0
derivation,1,4,0.045454545454545456
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,2,2,0.09090909090909091
mediation,14,1,0.6363636363636364
memberOf,1,4,0.045454545454545456
participation,0,8,0.0
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,1,4,0.045454545454545456
other,1,4,0.045454545454545456
