Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.07778722876081372,0.09428740513549239,0.1615858167346793,0.25093108508302286,0.026994603597657634,0.19990215704414824,0.052775142557045206,0.1326955106270726,0.10449904781079895,0.06678734595530042,0.07902541557245327,0.08147753998230249,0.0409623963041853,0.050496533362478724
collective,0.07778722876081372,1.0,0.09619564959485205,0.14514086322713543,0.026837557545222844,0.151949946539953,0.09197673817053684,0.07962017762507065,0.11111158973754615,0.038658802373509195,0.25606404837716695,0.05989798320788755,0.06409896100112161,0.04925021059342387,0.44764639556789343
datatype,0.09428740513549239,0.09619564959485205,1.0,0.04767143924523119,0.3459840828249113,0.054686221731845,0.10494132832562132,0.178761427046058,0.11417357133926859,0.2314935432966304,0.020335766228266248,0.3016520228075258,0.2964892241506119,0.022318711801614374,0.10185209676877417
kind,0.1615858167346793,0.14514086322713543,0.04767143924523119,1.0,0.13385562943395604,0.020100720045196842,0.06600272217734231,0.052047995860243515,0.3312586505638275,0.14518631073314997,0.2910040734887231,0.18400625351458977,0.19107026254550435,0.05254236358693671,0.0349409506002954
phase,0.25093108508302286,0.026837557545222844,0.3459840828249113,0.13385562943395604,1.0,0.13723028582358804,0.12107343480535755,0.22368797724494988,0.25337630940154743,0.23743598296413138,0.17663415135980212,0.1043237747967119,0.03803607795571872,0.07171222977993544,0.22333455279112352
relator,0.026994603597657634,0.151949946539953,0.054686221731845,0.020100720045196842,0.13723028582358804,1.0,0.5589484192387889,0.2040522934545036,0.18149910491329593,0.09188465653460497,0.16494692589571752,0.3440968823630128,0.39565459438705924,0.9093191029036476,0.13395180772419363
role,0.19990215704414824,0.09197673817053684,0.10494132832562132,0.06600272217734231,0.12107343480535755,0.5589484192387889,1.0,0.11429518473100177,0.1118404315768535,0.26004735230983145,0.19211592016175777,0.17746063540862625,0.2357260358199971,0.5282384356849789,0.11654769134607725
roleMixin,0.052775142557045206,0.07962017762507065,0.178761427046058,0.052047995860243515,0.22368797724494988,0.2040522934545036,0.11429518473100177,1.0,0.017494388812082075,0.15749859372270034,0.14054578044650504,0.17570800092703004,0.16119100808724213,0.12004130108431901,0.2638152933586702
subkind,0.1326955106270726,0.11111158973754615,0.11417357133926859,0.3312586505638275,0.25337630940154743,0.18149910491329593,0.1118404315768535,0.017494388812082075,1.0,0.12773832840855,0.37106620198823187,0.10587171531330172,0.04591872634291834,0.1668849294778199,0.14507101491454893
characterization,0.10449904781079895,0.038658802373509195,0.2314935432966304,0.14518631073314997,0.23743598296413138,0.09188465653460497,0.26004735230983145,0.15749859372270034,0.12773832840855,1.0,0.12953741565573518,0.09246739993529043,0.2826040004089324,0.0927667744715521,0.15021514677110348
componentOf,0.06678734595530042,0.25606404837716695,0.020335766228266248,0.2910040734887231,0.17663415135980212,0.16494692589571752,0.19211592016175777,0.14054578044650504,0.37106620198823187,0.12953741565573518,1.0,0.22810869873958198,0.21294922780438783,0.08236651249918647,0.10588432228231948
derivation,0.07902541557245327,0.05989798320788755,0.3016520228075258,0.18400625351458977,0.1043237747967119,0.3440968823630128,0.17746063540862625,0.17570800092703004,0.10587171531330172,0.09246739993529043,0.22810869873958198,1.0,0.7595860028093879,0.36823122045079115,0.05726211743619635
material,0.08147753998230249,0.06409896100112161,0.2964892241506119,0.19107026254550435,0.03803607795571872,0.39565459438705924,0.2357260358199971,0.16119100808724213,0.04591872634291834,0.2826040004089324,0.21294922780438783,0.7595860028093879,1.0,0.4269988320588017,0.05071776856533556
mediation,0.0409623963041853,0.04925021059342387,0.022318711801614374,0.05254236358693671,0.07171222977993544,0.9093191029036476,0.5282384356849789,0.12004130108431901,0.1668849294778199,0.0927667744715521,0.08236651249918647,0.36823122045079115,0.4269988320588017,1.0,0.03620432352433025
memberOf,0.050496533362478724,0.44764639556789343,0.10185209676877417,0.0349409506002954,0.22333455279112352,0.13395180772419363,0.11654769134607725,0.2638152933586702,0.14507101491454893,0.15021514677110348,0.10588432228231948,0.05726211743619635,0.05071776856533556,0.03620432352433025,1.0
