stereotype,total_correlation,rank
category,1.927543077354159,17
collective,2.063749306899166,14
datatype,2.05754307509495,15
kind,2.3995532142538742,10
mode,3.928268807384918,3
phase,2.375437958437925,11
relator,4.045259500237297,2
role,3.54533870360906,5
roleMixin,2.223173523798381,13
subkind,2.6164966174863413,9
characterization,3.4535162050599784,6
componentOf,2.3288233255280106,12
derivation,3.550105075477192,4
material,4.126512812504561,1
mediation,3.365595416876033,7
memberOf,2.923904235794235,8
subCollectionOf,1.9500286832328744,16
