stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,1.5611011672446713,15
collective,2.002347948455347,12
datatype,2.243905088256243,9
kind,2.1997853276380397,10
phase,2.8191519468921906,7
relator,3.582653698362618,2
role,2.8450409733788713,6
roleMixin,2.0135364546364074,11
subkind,2.548654078245725,8
characterization,1.934480637084508,13
componentOf,3.0642810423570968,4
derivation,3.0148239904209158,5
material,3.218554455465047,3
mediation,3.7320511870783566,1
memberOf,1.5872881757557518,14
