Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.27989773637663284,0.04614011738796098,0.1266542279577324,0.015402775502104633,0.23393880250640445,0.4293703062349137,0.31467737330441703,0.3781419797489891,0.11651627686219392,0.1167812585090214,0.08707229912993363,0.5360625163346879
characterization,0.27989773637663284,1.0,0.21841472820194902,0.13288184472422068,0.046722502541230115,0.38835490407168255,0.2303952688378513,0.29935884210187635,0.32329244359793713,0.0891239240514109,0.33989708004102265,0.08006547030253008,0.3255167181075425
componentOf,0.04614011738796098,0.21841472820194902,1.0,0.02582646112099337,0.037836096735982296,0.006284870668067635,0.09021436309491454,0.19555161425860204,0.19571112803807006,0.2029087008844276,0.13321262599933154,0.26532945284093695,0.031746528333004835
creation,0.1266542279577324,0.13288184472422068,0.02582646112099337,1.0,0.040057642602025434,0.2093508319739721,0.3161755734150778,0.37000033793280246,0.370565654976415,0.0448036886129779,0.13148711212076267,0.14618297453893983,0.6604467768439402
derivation,0.015402775502104633,0.046722502541230115,0.037836096735982296,0.040057642602025434,1.0,0.09068405286093802,0.12018993998552191,0.1424076049828328,0.16333555999458926,0.4386373248273355,0.362880095504951,0.16001275068666798,0.06747630972366318
externalDependence,0.23393880250640445,0.38835490407168255,0.006284870668067635,0.2093508319739721,0.09068405286093802,1.0,0.37705925189196193,0.5485599015004985,0.4413524785926502,0.2457814168076709,0.10087307557595353,0.14065637602719408,0.35384984616496884
historicalDependence,0.4293703062349137,0.2303952688378513,0.09021436309491454,0.3161755734150778,0.12018993998552191,0.37705925189196193,1.0,0.5713421630744911,0.5684423181869104,0.01636423770449776,0.08706573262714958,0.09177404634900999,0.5296447200253678
instantiation,0.31467737330441703,0.29935884210187635,0.19555161425860204,0.37000033793280246,0.1424076049828328,0.5485599015004985,0.5713421630744911,1.0,0.7947607449036909,0.1497540423976838,0.03023854989913577,0.014384432058700374,0.4899197642226241
manifestation,0.3781419797489891,0.32329244359793713,0.19571112803807006,0.370565654976415,0.16333555999458926,0.4413524785926502,0.5684423181869104,0.7947607449036909,1.0,0.10275712495957202,0.035422057116663505,0.04785373956581294,0.5315010246835089
material,0.11651627686219392,0.0891239240514109,0.2029087008844276,0.0448036886129779,0.4386373248273355,0.2457814168076709,0.01636423770449776,0.1497540423976838,0.10275712495957202,1.0,0.2657570973543238,0.13909472406023485,0.0840716778722815
mediation,0.1167812585090214,0.33989708004102265,0.13321262599933154,0.13148711212076267,0.362880095504951,0.10087307557595353,0.08706573262714958,0.03023854989913577,0.035422057116663505,0.2657570973543238,1.0,0.2800475403789899,0.06847945531568723
memberOf,0.08707229912993363,0.08006547030253008,0.26532945284093695,0.14618297453893983,0.16001275068666798,0.14065637602719408,0.09177404634900999,0.014384432058700374,0.04785373956581294,0.13909472406023485,0.2800475403789899,1.0,0.12759159407633827
participation,0.5360625163346879,0.3255167181075425,0.031746528333004835,0.6604467768439402,0.06747630972366318,0.35384984616496884,0.5296447200253678,0.4899197642226241,0.5315010246835089,0.0840716778722815,0.06847945531568723,0.12759159407633827,1.0
