Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,3,3,0.09090909090909091
comparative,0,8,0.0
componentOf,1,5,0.030303030303030304
creation,0,8,0.0
derivation,0,8,0.0
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,2,4,0.06060606060606061
mediation,4,2,0.12121212121212122
memberOf,0,8,0.0
participation,1,5,0.030303030303030304
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,21,1,0.6363636363636364
other,1,5,0.030303030303030304
