Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.25806828444262647,0.06349562892027645,0.09645803026136167,0.32985777381918224,0.16066662838634294,0.24583557368650824,0.2907392636259895,0.189655510330528,0.16904692361332238,0.02673862327149078,0.2336938241884865,0.01660674009163803,0.011535646252814526
componentOf,0.25806828444262647,1.0,0.030604733896484666,0.13745020115053663,0.0519901329244237,0.1354721731279149,0.26973647130356665,0.27060185709598944,0.2320826634891749,0.1718578898038357,0.2819819156796198,0.008207161552666946,0.012738369344394289,0.02175256210260904
creation,0.06349562892027645,0.030604733896484666,1.0,0.0034064154201373727,0.16735242888966054,0.2891046016957048,0.34092816134115206,0.36042609661057357,0.0602684850760144,0.08949438326788377,0.17690325668433607,0.6702845057390597,0.07991563848571631,0.037900761845108696
derivation,0.09645803026136167,0.13745020115053663,0.0034064154201373727,1.0,0.1259182714761267,0.1685235356997779,0.2007086358724769,0.21859555476851963,0.3768779674508925,0.32653626477958525,0.15653265293503385,0.11252238456942397,0.10552549799278481,0.2334484669176619
externalDependence,0.32985777381918224,0.0519901329244237,0.16735242888966054,0.1259182714761267,1.0,0.30969799710999213,0.5078675141572503,0.39166866368952125,0.27333986982788533,0.02383120919440496,0.1280225180068241,0.21971412978892876,0.0384595944326408,0.12120962982865187
historicalDependence,0.16066662838634294,0.1354721731279149,0.2891046016957048,0.1685235356997779,0.30969799710999213,1.0,0.5156560754008901,0.5069998517062716,0.00974923851648026,0.011621070568440493,0.13157179354769644,0.48596070183185924,0.1253200129385529,0.003941370244530969
instantiation,0.24583557368650824,0.26973647130356665,0.34092816134115206,0.2007086358724769,0.5078675141572503,0.5156560754008901,1.0,0.7680853494444031,0.16610290156056337,0.04189187783710586,0.03108380612993327,0.43740182964264357,0.0925699160822265,0.20947156604146017
manifestation,0.2907392636259895,0.27060185709598944,0.36042609661057357,0.21859555476851963,0.39166866368952125,0.5069998517062716,0.7680853494444031,1.0,0.1052262506794867,0.044140774839949284,0.07289055413630173,0.49364581996247636,0.041350869959260024,0.30483179066205585
material,0.189655510330528,0.2320826634891749,0.0602684850760144,0.3768779674508925,0.27333986982788533,0.00974923851648026,0.16610290156056337,0.1052262506794867,1.0,0.32500521004648664,0.22966462608870228,0.06747127571135732,0.2453393131876261,0.11143923370647357
mediation,0.16904692361332238,0.1718578898038357,0.08949438326788377,0.32653626477958525,0.02383120919440496,0.011621070568440493,0.04189187783710586,0.044140774839949284,0.32500521004648664,1.0,0.33225856402384296,0.05343594840317549,0.16120146434726756,0.11051953948748847
memberOf,0.02673862327149078,0.2819819156796198,0.17690325668433607,0.15653265293503385,0.1280225180068241,0.13157179354769644,0.03108380612993327,0.07289055413630173,0.22966462608870228,0.33225856402384296,1.0,0.12274028043298726,0.05010209047799289,0.22169963655587185
participation,0.2336938241884865,0.008207161552666946,0.6702845057390597,0.11252238456942397,0.21971412978892876,0.48596070183185924,0.43740182964264357,0.49364581996247636,0.06747127571135732,0.05343594840317549,0.12274028043298726,1.0,0.07792236947866304,0.1211003962792123
none,0.01660674009163803,0.012738369344394289,0.07991563848571631,0.10552549799278481,0.0384595944326408,0.1253200129385529,0.0925699160822265,0.041350869959260024,0.2453393131876261,0.16120146434726756,0.05010209047799289,0.07792236947866304,1.0,0.07290729370361841
other,0.011535646252814526,0.02175256210260904,0.037900761845108696,0.2334484669176619,0.12120962982865187,0.003941370244530969,0.20947156604146017,0.30483179066205585,0.11143923370647357,0.11051953948748847,0.22169963655587185,0.1211003962792123,0.07290729370361841,1.0
