Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.20965017448956616,0.10477268925688224,-0.1371283923734197,0.3548566313252014,0.19247996372522763,0.26384708001930407,0.34730604239724755,0.16647466969308988,0.13393191577354036,0.008420356036680215,0.254955405221753,-0.00478332262268983,-0.006890390521065589
componentOf,0.20965017448956616,1.0,0.02644022982794573,-0.13313837269562095,0.06782762196448706,0.11295366753030359,0.2537796029496442,0.2381211006610602,0.2707884950343082,0.23793875552413443,0.27734470787231474,-0.015302461972565249,-0.1364251302440003,-0.007641097883870415
creation,0.10477268925688224,0.02644022982794573,1.0,0.002347407581818618,0.1547148432783605,0.2833418093620491,0.327347408392681,0.3665402093578351,-0.05467231625026569,0.1511555980647482,0.17115500675752623,0.6638015139246407,-0.031521159835897004,0.035332328214307006
derivation,-0.1371283923734197,-0.13313837269562095,0.002347407581818618,1.0,-0.12219986586067243,-0.1638566224840798,-0.20896435080891101,-0.22405009543570004,0.31925226993653216,0.25886891819085606,0.13799569160586173,-0.1291592706672693,0.10196729599473825,0.23158202138868048
externalDependence,0.3548566313252014,0.06782762196448706,0.1547148432783605,-0.12219986586067243,1.0,0.30427195361527726,0.4879559211075103,0.4027199085562194,-0.27714450521670797,0.02524918903077046,0.13116015075602636,0.21197088759849297,0.03435724685747385,0.10805289075001938
historicalDependence,0.19247996372522763,0.11295366753030359,0.2833418093620491,-0.1638566224840798,0.30427195361527726,1.0,0.5309230122773086,0.5094567662487349,0.0079019228231759,0.018272183934915656,0.12631945104339476,0.51894490519652,-0.19314505006580218,0.00669314520537155
instantiation,0.26384708001930407,0.2537796029496442,0.327347408392681,-0.20896435080891101,0.4879559211075103,0.5309230122773086,1.0,0.7687386033715051,-0.15147054647215738,0.014744858575761412,0.0346992904743577,0.45702501486264063,-0.09226250369743144,0.19454884702084105
manifestation,0.34730604239724755,0.2381211006610602,0.3665402093578351,-0.22405009543570004,0.4027199085562194,0.5094567662487349,0.7687386033715051,1.0,-0.10329176943325476,-0.015406464575410813,0.06134954669300893,0.5341837471037882,-0.030292145888725218,0.29830288564130425
material,0.16647466969308988,0.2707884950343082,-0.05467231625026569,0.31925226993653216,-0.27714450521670797,0.0079019228231759,-0.15147054647215738,-0.10329176943325476,1.0,0.2856122887742831,0.21573959362261702,-0.06644067076105245,-0.3646432568846308,0.0834595805059122
mediation,0.13393191577354036,0.23793875552413443,0.1511555980647482,0.25886891819085606,0.02524918903077046,0.018272183934915656,0.014744858575761412,-0.015406464575410813,0.2856122887742831,1.0,0.334145363755673,-0.05970383034561561,-0.2633163788717179,0.07430483612804752
memberOf,0.008420356036680215,0.27734470787231474,0.17115500675752623,0.13799569160586173,0.13116015075602636,0.12631945104339476,0.0346992904743577,0.06134954669300893,0.21573959362261702,0.334145363755673,1.0,0.12657711039706437,-0.30180104681480535,0.2179257074441238
participation,0.254955405221753,-0.015302461972565249,0.6638015139246407,-0.1291592706672693,0.21197088759849297,0.51894490519652,0.45702501486264063,0.5341837471037882,-0.06644067076105245,-0.05970383034561561,0.12657711039706437,1.0,-0.032918788441752965,0.12787253559201073
none,-0.00478332262268983,-0.1364251302440003,-0.031521159835897004,0.10196729599473825,0.03435724685747385,-0.19314505006580218,-0.09226250369743144,-0.030292145888725218,-0.3646432568846308,-0.2633163788717179,-0.30180104681480535,-0.032918788441752965,1.0,-0.04243839687986577
other,-0.006890390521065589,-0.007641097883870415,0.035332328214307006,0.23158202138868048,0.10805289075001938,0.00669314520537155,0.19454884702084105,0.29830288564130425,0.0834595805059122,0.07430483612804752,0.2179257074441238,0.12787253559201073,-0.04243839687986577,1.0
