stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
bringsAbout,3.1889231619259455,5
characterization,2.6341674084433837,10
componentOf,2.18927102832337,14
creation,2.6497857652515466,9
derivation,2.553018834048829,11
externalDependence,3.0538671591594175,7
historicalDependence,3.4111021045431755,4
instantiation,4.300479881294349,2
manifestation,4.41353010471761,1
material,2.732711721270187,8
mediation,2.4728863197831465,12
memberOf,2.2999780379106363,13
participation,3.915705928182989,3
triggers,3.081975107548746,6
none,1.4087566494427781,16
other,2.0544338431558318,15
