stereotype,total_correlation,rank
category,2.4330830358517397,18
collective,2.7394898392744524,14
datatype,2.652037988115967,15
kind,2.831973673714705,11
mode,4.385182622472222,2
phase,3.092458150120871,10
relator,4.353168199655212,3
role,3.8172596550358797,6
roleMixin,2.5106582873544907,17
subkind,2.815345370352685,12
characterization,3.850107139056094,5
componentOf,2.7503857104038607,13
derivation,3.7911341030209513,7
material,4.615842128903303,1
mediation,4.353168199655212,3
memberOf,3.3414444956037546,8
subCollectionOf,2.0856624505095613,19
none_r,2.517067859821145,16
other_r,3.1200397205427066,9
