Stereotype,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf,none,other
characterization,1.0,0.15047296748468286,-0.06499253665804483,-0.2383931821151408,-0.09072951881147591,0.07077341595530742,-0.033337370583965374,0.2713347655186105,0.15251712605756984
componentOf,0.15047296748468286,1.0,-0.21034629835381194,-0.24414964163493674,-0.09828908370611776,0.13490499737282047,0.06287081700144694,-0.10498639966822397,0.2938414973510116
derivation,-0.06499253665804483,-0.21034629835381194,1.0,0.7976212305488717,0.359144378885206,0.02097980206150537,0.2760445965109816,0.07444856051016711,-0.12998821168701485
material,-0.2383931821151408,-0.24414964163493674,0.7976212305488717,1.0,0.33779733186081506,0.010515685696127298,0.28496677452914027,0.07636986501972179,-0.25113948237248757
mediation,-0.09072951881147591,-0.09828908370611776,0.359144378885206,0.33779733186081506,1.0,-0.03740256216769529,0.0764380376557924,0.11424790145353574,-0.02764468710452797
memberOf,0.07077341595530742,0.13490499737282047,0.02097980206150537,0.010515685696127298,-0.03740256216769529,1.0,-0.03325369394251441,0.05327420857129231,0.15314531970255257
subCollectionOf,-0.033337370583965374,0.06287081700144694,0.2760445965109816,0.28496677452914027,0.0764380376557924,-0.03325369394251441,1.0,-0.05405991587941181,0.13242486726623262
none,0.2713347655186105,-0.10498639966822397,0.07444856051016711,0.07636986501972179,0.11424790145353574,0.05327420857129231,-0.05405991587941181,1.0,-0.09420680601417777
other,0.15251712605756984,0.2938414973510116,-0.12998821168701485,-0.25113948237248757,-0.02764468710452797,0.15314531970255257,0.13242486726623262,-0.09420680601417777,1.0
