Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,466,1,466,44.00377714825307
componentOf,137,2,603,56.94050991501416
material,123,3,726,68.55524079320114
none,82,4,808,76.29839471199244
other,79,5,887,83.75826251180358
derivation,72,6,959,90.55712936732768
memberOf,52,7,1011,95.46742209631728
characterization,33,8,1044,98.58356940509914
subCollectionOf,14,9,1058,99.90557129367328
comparative,1,10,1059,100.0
bringsAbout,0,11,1059,100.0
creation,0,12,1059,100.0
instantiation,0,13,1059,100.0
manifestation,0,14,1059,100.0
externalDependence,0,15,1059,100.0
historicalDependence,0,16,1059,100.0
participation,0,17,1059,100.0
subQuantityOf,0,18,1059,100.0
participational,0,19,1059,100.0
triggers,0,20,1059,100.0
termination,0,21,1059,100.0
